Unnamed: 0,Date,closeprice,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,dailyreturn_percent,dailyreturn_realized_percent
0,2012-05-02,614.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,50000.0,50000.0,50000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,2012-05-03,615.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,50000.0,50000.0,50000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,2012-05-04,609.5,BOT,8.0,617.25,2012-05-04,WEAT US EQUITY_WC2 COMDTY_0,ENTER,,2012-05-04,,617.25,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,8.0,4938.0,617.25,4876.0,0,-62.0,49938.0,45062.0,50000.0,-4938.0,0,0,0.0,0.0,0.0,-62.0,-62.0,1,-0.00124,-0.00124,0.0
3,2012-05-07,612.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,8.0,4938.0,617.25,4896.0,0,-42.0,49958.0,45062.0,45062.0,0.0,0,0,0.0,0.0,0.0,-42.0,20.0,1,-0.00084,0.0004,0.0
4,2012-05-08,615.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,8.0,4938.0,617.25,4920.0,0,-18.0,49982.0,45062.0,45062.0,0.0,0,0,0.0,0.0,0.0,-18.0,24.0,1,-0.00036,0.00048,0.0
5,2012-05-09,600.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,8.0,4938.0,617.25,4800.0,0,-138.0,49862.0,45062.0,45062.0,0.0,0,0,0.0,0.0,0.0,-138.0,-120.0,1,-0.00276,-0.0024,0.0
6,2012-05-10,601.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,8.0,4938.0,617.25,4810.0,0,-128.0,49872.0,45062.0,45062.0,0.0,0,0,0.0,0.0,0.0,-128.0,10.0,1,-0.00256,0.0002,0.0
7,2012-05-11,597.0,BOT,8.0,602.5,2012-05-11,WEAT US EQUITY_WC2 COMDTY_1,ENTER,,2012-05-11,,602.5,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,16.0,9758.0,609.875,9552.0,0,-206.0,49794.0,40242.0,45062.0,-4820.0,0,0,0.0,0.0,0.0,-206.0,-78.0,1,-0.00412,-0.00156,0.0
8,2012-05-14,598.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,16.0,9758.0,609.875,9572.0,0,-186.0,49814.0,40242.0,40242.0,0.0,0,0,0.0,0.0,0.0,-186.0,20.0,1,-0.00372,0.0004,0.0
9,2012-05-15,622.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,16.0,9758.0,609.875,9956.0,0,198.0,50198.0,40242.0,40242.0,0.0,0,0,0.0,0.0,0.0,198.0,384.0,1,0.00396,0.00768,0.0
