,Date,closeprice,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission
0,2014-05-01,707.25,,,,,,,,,,,0
1,2014-05-02,716.0,,,,,,,,,,,0
2,2014-05-05,729.0,,,,,,,,,,,0
3,2014-05-06,739.0,,,,,,,,,,,0
4,2014-05-07,737.75,,,,,,,,,,,0
5,2014-05-08,735.25,,,,,,,,,,,0
6,2014-05-09,722.5,,,,,,,,,,,0
7,2014-05-12,715.0,,,,,,,,,,,0
8,2014-05-13,709.25,,,,,,,,,,,0
9,2014-05-14,690.25,,,,,,,,,,,0
10,2014-05-15,687.0,,,,,,,,,,,0
11,2014-05-16,683.25,BOT,7.0,688.0,2014-05-16,WEAT US EQUITY_WC2 COMDTY_0,ENTER,,2014-05-16,,688.0,0
12,2014-05-19,683.75,,,,,,,,,,,0
13,2014-05-20,680.5,,,,,,,,,,,0
14,2014-05-21,675.25,,,,,,,,,,,0
15,2014-05-22,670.0,,,,,,,,,,,0
16,2014-05-23,663.75,BOT,7.0,670.5,2014-05-23,WEAT US EQUITY_WC2 COMDTY_1,ENTER,,2014-05-23,,670.5,0
17,2014-05-27,653.0,,,,,,,,,,,0
18,2014-05-28,650.5,,,,,,,,,,,0
19,2014-05-29,644.5,,,,,,,,,,,0
20,2014-05-30,639.75,BOT,8.0,644.75,2014-05-30,WEAT US EQUITY_WC2 COMDTY_2,ENTER,,2014-05-30,,644.75,0
21,2014-06-02,631.75,,,,,,,,,,,0
22,2014-06-03,623.0,,,,,,,,,,,0
23,2014-06-04,625.0,,,,,,,,,,,0
24,2014-06-05,616.25,,,,,,,,,,,0
25,2014-06-06,630.25,BOT,8.0,616.0,2014-06-06,WEAT US EQUITY_WC2 COMDTY_3,ENTER,,2014-06-06,,616.0,0
26,2014-06-09,624.75,,,,,,,,,,,0
27,2014-06-10,613.0,,,,,,,,,,,0
28,2014-06-11,601.5,,,,,,,,,,,0
29,2014-06-12,597.0,,,,,,,,,,,0
30,2014-06-13,596.5,BOT,8.0,597.5,2014-06-13,WEAT US EQUITY_WC2 COMDTY_4,ENTER,,2014-06-13,,597.5,0
31,2014-06-16,591.25,,,,,,,,,,,0
32,2014-06-17,590.75,,,,,,,,,,,0
33,2014-06-18,596.25,,,,,,,,,,,0
34,2014-06-19,602.5,,,,,,,,,,,0
35,2014-06-20,593.25,BOT,8.0,602.0,2014-06-20,WEAT US EQUITY_WC2 COMDTY_5,ENTER,,2014-06-20,,602.0,0
36,2014-06-23,589.0,,,,,,,,,,,0
37,2014-06-24,580.75,,,,,,,,,,,0
38,2014-06-25,584.25,,,,,,,,,,,0
39,2014-06-26,584.75,,,,,,,,,,,0
40,2014-06-27,593.75,BOT,9.0,584.75,2014-06-27,WEAT US EQUITY_WC2 COMDTY_6,ENTER,,2014-06-27,,584.75,0
41,2014-06-30,577.5,,,,,,,,,,,0
42,2014-07-01,572.5,,,,,,,,,,,0
43,2014-07-02,575.5,,,,,,,,,,,0
44,2014-07-03,579.5,,,,,,,,,,,0
45,2014-07-07,556.75,,,,,,,,,,,0
46,2014-07-08,556.25,,,,,,,,,,,0
47,2014-07-09,551.25,,,,,,,,,,,0
48,2014-07-10,548.5,,,,,,,,,,,0
49,2014-07-11,526.0,BOT,9.0,547.25,2014-07-11,WEAT US EQUITY_WC2 COMDTY_8,ENTER,,2014-07-11,,547.25,0
50,2014-07-14,537.75,,,,,,,,,,,0
51,2014-07-15,561.0,,,,,,,,,,,0
52,2014-07-16,562.0,,,,,,,,,,,0
53,2014-07-17,573.5,,,,,,,,,,,0
54,2014-07-18,556.25,BOT,9.0,575.0,2014-07-18,WEAT US EQUITY_WC2 COMDTY_9,ENTER,,2014-07-18,,575.0,0
55,2014-07-21,554.25,,,,,,,,,,,0
56,2014-07-22,548.75,,,,,,,,,,,0
57,2014-07-23,554.5,,,,,,,,,,,0
58,2014-07-24,550.25,,,,,,,,,,,0
59,2014-07-25,559.75,BOT,9.0,550.5,2014-07-25,WEAT US EQUITY_WC2 COMDTY_10,ENTER,,2014-07-25,,550.5,0
60,2014-07-28,557.75,,,,,,,,,,,0
61,2014-07-29,543.75,,,,,,,,,,,0
62,2014-07-30,549.5,,,,,,,,,,,0
63,2014-07-31,550.25,,,,,,,,,,,0
64,2014-08-01,553.25,BOT,9.0,550.25,2014-08-01,WEAT US EQUITY_WC2 COMDTY_11,ENTER,,2014-08-01,,550.25,0
65,2014-08-04,564.5,,,,,,,,,,,0
66,2014-08-05,572.75,,,,,,,,,,,0
67,2014-08-06,586.75,,,,,,,,,,,0
68,2014-08-07,579.0,,,,,,,,,,,0
69,2014-08-08,566.0,SLD,-7.0,578.25,2014-08-08,WEAT US EQUITY_WC2 COMDTY_0,EXIT,,2014-08-08,,578.25,0
70,2014-08-08,566.0,SLD,-7.0,578.25,2014-08-08,WEAT US EQUITY_WC2 COMDTY_1,EXIT,,2014-08-08,,578.25,0
71,2014-08-08,566.0,SLD,-8.0,578.25,2014-08-08,WEAT US EQUITY_WC2 COMDTY_2,EXIT,,2014-08-08,,578.25,0
72,2014-08-08,566.0,SLD,-8.0,578.25,2014-08-08,WEAT US EQUITY_WC2 COMDTY_3,EXIT,,2014-08-08,,578.25,0
73,2014-08-08,566.0,SLD,-8.0,578.25,2014-08-08,WEAT US EQUITY_WC2 COMDTY_4,EXIT,,2014-08-08,,578.25,0
74,2014-08-08,566.0,SLD,-8.0,578.25,2014-08-08,WEAT US EQUITY_WC2 COMDTY_5,EXIT,,2014-08-08,,578.25,0
75,2014-08-08,566.0,SLD,-9.0,578.25,2014-08-08,WEAT US EQUITY_WC2 COMDTY_6,EXIT,,2014-08-08,,578.25,0
76,2014-08-08,566.0,SLD,-9.0,578.25,2014-08-08,WEAT US EQUITY_WC2 COMDTY_8,EXIT,,2014-08-08,,578.25,0
77,2014-08-08,566.0,SLD,-9.0,578.25,2014-08-08,WEAT US EQUITY_WC2 COMDTY_9,EXIT,,2014-08-08,,578.25,0
78,2014-08-08,566.0,SLD,-9.0,578.25,2014-08-08,WEAT US EQUITY_WC2 COMDTY_10,EXIT,,2014-08-08,,578.25,0
79,2014-08-08,566.0,SLD,-9.0,578.25,2014-08-08,WEAT US EQUITY_WC2 COMDTY_11,EXIT,,2014-08-08,,578.25,0
80,2014-08-11,562.75,,,,,,,,,,,0
81,2014-08-12,551.25,,,,,,,,,,,0
82,2014-08-13,545.5,,,,,,,,,,,0
83,2014-08-14,552.75,,,,,,,,,,,0
84,2014-08-15,563.5,BOT,9.0,551.0,2014-08-15,WEAT US EQUITY_WC2 COMDTY_12,ENTER,,2014-08-15,,551.0,0
85,2014-08-18,554.25,,,,,,,,,,,0
86,2014-08-19,558.5,,,,,,,,,,,0
87,2014-08-20,550.0,,,,,,,,,,,0
88,2014-08-21,555.5,,,,,,,,,,,0
89,2014-08-22,562.25,BOT,9.0,555.0,2014-08-22,WEAT US EQUITY_WC2 COMDTY_13,ENTER,,2014-08-22,,555.0,0
90,2014-08-25,554.5,,,,,,,,,,,0
91,2014-08-26,556.5,,,,,,,,,,,0
92,2014-08-27,562.25,,,,,,,,,,,0
93,2014-08-28,571.75,,,,,,,,,,,0
94,2014-08-29,563.5,SLD,-9.0,570.0,2014-08-29,WEAT US EQUITY_WC2 COMDTY_12,EXIT,,2014-08-29,,570.0,0
95,2014-08-29,563.5,SLD,-9.0,570.0,2014-08-29,WEAT US EQUITY_WC2 COMDTY_13,EXIT,,2014-08-29,,570.0,0
96,2014-09-02,555.0,,,,,,,,,,,0
97,2014-09-03,535.75,,,,,,,,,,,0
98,2014-09-04,530.25,,,,,,,,,,,0
99,2014-09-05,535.25,BOT,9.0,530.75,2014-09-05,WEAT US EQUITY_WC2 COMDTY_14,ENTER,,2014-09-05,,530.75,0
100,2014-09-08,533.5,,,,,,,,,,,0
101,2014-09-09,527.5,,,,,,,,,,,0
102,2014-09-10,519.75,,,,,,,,,,,0
103,2014-09-11,509.5,,,,,,,,,,,0
104,2014-09-12,502.5,BOT,10.0,508.5,2014-09-12,WEAT US EQUITY_WC2 COMDTY_15,ENTER,,2014-09-12,,508.5,0
105,2014-09-15,518.25,,,,,,,,,,,0
106,2014-09-16,512.75,,,,,,,,,,,0
107,2014-09-17,516.25,,,,,,,,,,,0
108,2014-09-18,505.75,,,,,,,,,,,0
109,2014-09-19,491.0,BOT,10.0,505.25,2014-09-19,WEAT US EQUITY_WC2 COMDTY_16,ENTER,,2014-09-19,,505.25,0
110,2014-09-22,489.5,,,,,,,,,,,0
111,2014-09-23,488.25,,,,,,,,,,,0
112,2014-09-24,492.25,,,,,,,,,,,0
113,2014-09-25,487.75,,,,,,,,,,,0
114,2014-09-26,487.5,BOT,10.0,486.75,2014-09-26,WEAT US EQUITY_WC2 COMDTY_17,ENTER,,2014-09-26,,486.75,0
115,2014-09-29,494.0,,,,,,,,,,,0
116,2014-09-30,490.5,,,,,,,,,,,0
117,2014-10-01,492.25,,,,,,,,,,,0
118,2014-10-02,496.0,,,,,,,,,,,0
119,2014-10-03,497.0,BOT,10.0,497.0,2014-10-03,WEAT US EQUITY_WC2 COMDTY_18,ENTER,,2014-10-03,,497.0,0
120,2014-10-06,503.5,,,,,,,,,,,0
121,2014-10-07,518.25,,,,,,,,,,,0
122,2014-10-08,519.25,,,,,,,,,,,0
123,2014-10-09,505.25,,,,,,,,,,,0
124,2014-10-10,509.5,BOT,10.0,504.5,2014-10-10,WEAT US EQUITY_WC2 COMDTY_19,ENTER,,2014-10-10,,504.5,0
125,2014-10-13,517.0,,,,,,,,,,,0
126,2014-10-14,521.25,,,,,,,,,,,0
127,2014-10-15,518.0,,,,,,,,,,,0
128,2014-10-16,528.75,,,,,,,,,,,0
129,2014-10-17,528.0,SLD,-9.0,530.25,2014-10-17,WEAT US EQUITY_WC2 COMDTY_14,EXIT,,2014-10-17,,530.25,0
130,2014-10-17,528.0,SLD,-10.0,530.25,2014-10-17,WEAT US EQUITY_WC2 COMDTY_15,EXIT,,2014-10-17,,530.25,0
131,2014-10-17,528.0,SLD,-10.0,530.25,2014-10-17,WEAT US EQUITY_WC2 COMDTY_16,EXIT,,2014-10-17,,530.25,0
132,2014-10-17,528.0,SLD,-10.0,530.25,2014-10-17,WEAT US EQUITY_WC2 COMDTY_17,EXIT,,2014-10-17,,530.25,0
133,2014-10-17,528.0,SLD,-10.0,530.25,2014-10-17,WEAT US EQUITY_WC2 COMDTY_18,EXIT,,2014-10-17,,530.25,0
134,2014-10-17,528.0,SLD,-10.0,530.25,2014-10-17,WEAT US EQUITY_WC2 COMDTY_19,EXIT,,2014-10-17,,530.25,0
135,2014-10-20,526.25,,,,,,,,,,,0
136,2014-10-21,533.0,,,,,,,,,,,0
137,2014-10-22,536.0,,,,,,,,,,,0
138,2014-10-23,540.25,,,,,,,,,,,0
139,2014-10-24,531.0,,,,,,,,,,,0
140,2014-10-27,536.5,,,,,,,,,,,0
141,2014-10-28,544.5,,,,,,,,,,,0
142,2014-10-29,551.0,,,,,,,,,,,0
143,2014-10-30,549.0,,,,,,,,,,,0
144,2014-10-31,545.75,,,,,,,,,,,0
