Unnamed: 0,Date,closeprice,executeddate,Side,Shares,Price,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,dailyreturn_percent,dailyreturn_realized_percent
0,2015-05-01,500.5,2015-05-01,BOT,10.0,500.75,WEAT US EQUITY_1KWC2 COMDTY_0,ENTER,,2015-05-01,,500.75,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,10.0,5007.5,500.75,5005.0,0,-2.5,49997.5,44992.5,50000.0,-5007.5,0,0,0.0,0.0,0.0,-2.5,-2.5,1,-5e-05,-5e-05,0.0
1,2015-05-04,498.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,10.0,5007.5,500.75,4982.5,0,-25.0,49975.0,44992.5,44992.5,0.0,0,0,0.0,0.0,0.0,-25.0,-22.5,1,-0.0005,-0.00045,0.0
2,2015-05-05,490.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,10.0,5007.5,500.75,4902.5,0,-105.0,49895.0,44992.5,44992.5,0.0,0,0,0.0,0.0,0.0,-105.0,-80.0,1,-0.0021,-0.0016,0.0
3,2015-05-06,503.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,10.0,5007.5,500.75,5035.0,0,27.5,50027.5,44992.5,44992.5,0.0,0,0,0.0,0.0,0.0,27.5,132.5,1,0.00055,0.00265,0.0
4,2015-05-07,499.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,10.0,5007.5,500.75,4997.5,0,-10.0,49990.0,44992.5,44992.5,0.0,0,0,0.0,0.0,0.0,-10.0,-37.5,1,-0.0002,-0.00075,0.0
5,2015-05-08,508.5,2015-05-08,SLD,-10.0,498.75,WEAT US EQUITY_1KWC2 COMDTY_0,EXIT,,2015-05-08,,498.75,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,49980.0,49980.0,44992.5,4987.5,0,1,-20.0,-0.00399400898652022,-20.0,-20.0,-10.0,0,-0.0004,-0.0002,-0.0004
6,2015-05-11,508.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,49980.0,49980.0,49980.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
7,2015-05-12,507.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,49980.0,49980.0,49980.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8,2015-05-13,509.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,49980.0,49980.0,49980.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
9,2015-05-14,543.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,49980.0,49980.0,49980.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
