Unnamed: 0,Date,closeprice,executeddate,Side,Shares,Price,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,dailyreturn_percent,dailyreturn_realized_percent
0,2015-05-01,470.0,2015-05-01,BOT,10.0,469.5,WEAT US EQUITY_WC1 COMDTY_0,ENTER,,2015-05-01,,469.5,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,10.0,4695.0,469.5,4700.0,0,5.0,50005.0,45305.0,50000.0,-4695.0,0,0,0.0,0.0,0.0,5.0,5.0,1,0.0001,0.0001,0.0
1,2015-05-04,469.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,10.0,4695.0,469.5,4692.5,0,-2.5,49997.5,45305.0,45305.0,0.0,0,0,0.0,0.0,0.0,-2.5,-7.5,1,-5e-05,-0.00015,0.0
2,2015-05-05,464.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,10.0,4695.0,469.5,4640.0,0,-55.0,49945.0,45305.0,45305.0,0.0,0,0,0.0,0.0,0.0,-55.0,-52.5,1,-0.0011,-0.00105,0.0
3,2015-05-06,475.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,10.0,4695.0,469.5,4757.5,0,62.5,50062.5,45305.0,45305.0,0.0,0,0,0.0,0.0,0.0,62.5,117.5,1,0.00125,0.00235,0.0
4,2015-05-07,465.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,10.0,4695.0,469.5,4657.5,0,-37.5,49962.5,45305.0,45305.0,0.0,0,0,0.0,0.0,0.0,-37.5,-100.0,1,-0.00075,-0.002,0.0
5,2015-05-08,476.5,2015-05-08,BOT,11.0,468.0,WEAT US EQUITY_WC1 COMDTY_1,ENTER,,2015-05-08,,468.0,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,21.0,9843.0,468.7142857142857,10006.5,0,163.5,50163.5,40157.0,45305.0,-5148.0,0,0,0.0,0.0,0.0,163.5,201.0,1,0.00327,0.00402,0.0
6,2015-05-11,476.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,21.0,9843.0,468.7142857142857,10001.25,0,158.25,50158.25,40157.0,40157.0,0.0,0,0,0.0,0.0,0.0,158.25,-5.25,1,0.003165,-0.000105,0.0
7,2015-05-12,479.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,21.0,9843.0,468.7142857142857,10064.25,0,221.25,50221.25,40157.0,40157.0,0.0,0,0,0.0,0.0,0.0,221.25,63.0,1,0.004425,0.00126,0.0
8,2015-05-13,481.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,21.0,9843.0,468.7142857142857,10101.0,0,258.0,50258.0,40157.0,40157.0,0.0,0,0,0.0,0.0,0.0,258.0,36.75,1,0.00516,0.000735,0.0
9,2015-05-14,501.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,21.0,9843.0,468.7142857142857,10536.75,0,693.75,50693.75,40157.0,40157.0,0.0,0,0,0.0,0.0,0.0,693.75,435.75,1,0.013875,0.008715,0.0
