,Date,closeprice,executeddate,Side,Shares,Price,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission
0,2015-05-01,500.5,2015-05-01,BOT,10.0,500.75,WEAT US EQUITY_1KWC2 COMDTY_0,ENTER,,2015-05-01,,500.75,0
1,2015-05-04,498.25,,,,,,,,,,,0
2,2015-05-05,490.25,,,,,,,,,,,0
3,2015-05-06,503.5,,,,,,,,,,,0
4,2015-05-07,499.75,,,,,,,,,,,0
5,2015-05-08,508.5,2015-05-08,SLD,-10.0,498.75,WEAT US EQUITY_1KWC2 COMDTY_0,EXIT,,2015-05-08,,498.75,0
6,2015-05-11,508.75,,,,,,,,,,,0
7,2015-05-12,507.75,,,,,,,,,,,0
8,2015-05-13,509.5,,,,,,,,,,,0
9,2015-05-14,543.25,,,,,,,,,,,0
10,2015-05-15,551.25,,,,,,,,,,,0
11,2015-05-18,564.5,,,,,,,,,,,0
12,2015-05-19,550.5,,,,,,,,,,,0
13,2015-05-20,555.0,,,,,,,,,,,0
14,2015-05-21,567.75,,,,,,,,,,,0
15,2015-05-22,557.0,2015-05-22,BOT,9.0,567.0,WEAT US EQUITY_1KWC2 COMDTY_1,ENTER,,2015-05-22,,567.0,0
16,2015-05-26,534.25,,,,,,,,,,,0
17,2015-05-27,520.75,,,,,,,,,,,0
18,2015-05-28,520.0,,,,,,,,,,,0
19,2015-05-29,507.75,2015-05-29,BOT,10.0,520.0,WEAT US EQUITY_1KWC2 COMDTY_2,ENTER,,2015-05-29,,520.0,0
20,2015-06-01,523.25,,,,,,,,,,,0
21,2015-06-02,545.5,,,,,,,,,,,0
22,2015-06-03,539.0,,,,,,,,,,,0
23,2015-06-04,552.0,,,,,,,,,,,0
24,2015-06-05,546.0,2015-06-05,SLD,-9.0,548.0,WEAT US EQUITY_1KWC2 COMDTY_1,EXIT,,2015-06-05,,548.0,0
25,2015-06-05,546.0,2015-06-05,SLD,-10.0,548.0,WEAT US EQUITY_1KWC2 COMDTY_2,EXIT,,2015-06-05,,548.0,0
26,2015-06-08,556.0,,,,,,,,,,,0
27,2015-06-09,559.75,,,,,,,,,,,0
28,2015-06-10,541.0,,,,,,,,,,,0
29,2015-06-11,533.5,,,,,,,,,,,0
30,2015-06-12,535.75,2015-06-12,BOT,9.0,533.5,WEAT US EQUITY_1KWC2 COMDTY_3,ENTER,,2015-06-12,,533.5,0
31,2015-06-15,518.25,,,,,,,,,,,0
32,2015-06-16,515.5,,,,,,,,,,,0
33,2015-06-17,514.75,,,,,,,,,,,0
34,2015-06-18,507.75,,,,,,,,,,,0
35,2015-06-19,513.0,2015-06-19,BOT,10.0,507.0,WEAT US EQUITY_1KWC2 COMDTY_4,ENTER,,2015-06-19,,507.0,0
36,2015-06-22,521.0,,,,,,,,,,,0
37,2015-06-23,539.75,,,,,,,,,,,0
38,2015-06-24,533.0,,,,,,,,,,,0
39,2015-06-25,543.5,,,,,,,,,,,0
40,2015-06-26,569.0,2015-06-26,SLD,-9.0,543.5,WEAT US EQUITY_1KWC2 COMDTY_3,EXIT,,2015-06-26,,543.5,0
41,2015-06-26,569.0,2015-06-26,SLD,-10.0,543.5,WEAT US EQUITY_1KWC2 COMDTY_4,EXIT,,2015-06-26,,543.5,0
42,2015-06-29,581.5,,,,,,,,,,,0
43,2015-06-30,610.25,,,,,,,,,,,0
44,2015-07-01,592.5,,,,,,,,,,,0
45,2015-07-02,591.75,,,,,,,,,,,0
46,2015-07-06,592.5,,,,,,,,,,,0
47,2015-07-07,586.25,,,,,,,,,,,0
48,2015-07-08,583.0,,,,,,,,,,,0
49,2015-07-09,579.25,,,,,,,,,,,0
50,2015-07-10,572.25,2015-07-10,BOT,9.0,578.0,WEAT US EQUITY_1KWC2 COMDTY_5,ENTER,,2015-07-10,,578.0,0
51,2015-07-13,567.25,,,,,,,,,,,0
52,2015-07-14,561.25,,,,,,,,,,,0
53,2015-07-15,579.0,,,,,,,,,,,0
54,2015-07-16,573.0,,,,,,,,,,,0
55,2015-07-17,566.0,2015-07-17,BOT,9.0,573.0,WEAT US EQUITY_1KWC2 COMDTY_6,ENTER,,2015-07-17,,573.0,0
56,2015-07-20,545.25,,,,,,,,,,,0
57,2015-07-21,537.75,,,,,,,,,,,0
58,2015-07-22,532.25,,,,,,,,,,,0
59,2015-07-23,537.0,,,,,,,,,,,0
60,2015-07-24,527.25,2015-07-24,BOT,9.0,536.0,WEAT US EQUITY_1KWC2 COMDTY_7,ENTER,,2015-07-24,,536.0,0
61,2015-07-27,519.25,,,,,,,,,,,0
62,2015-07-28,524.5,,,,,,,,,,,0
63,2015-07-29,514.75,,,,,,,,,,,0
64,2015-07-30,510.75,,,,,,,,,,,0
