,Date,closeprice,executeddate,Side,Shares,Price,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission
0,2015-05-01,474.0,2015-05-01,BOT,10.0,474.0,WEAT US EQUITY_WC2 COMDTY_0,ENTER,,2015-05-01,,474.0,0
1,2015-05-04,472.75,,,,,,,,,,,0
2,2015-05-05,466.5,,,,,,,,,,,0
3,2015-05-06,479.25,,,,,,,,,,,0
4,2015-05-07,472.75,,,,,,,,,,,0
5,2015-05-08,481.5,2015-05-08,SLD,-10.0,476.0,WEAT US EQUITY_WC2 COMDTY_0,EXIT,,2015-05-08,,476.0,0
6,2015-05-11,481.0,,,,,,,,,,,0
7,2015-05-12,480.5,,,,,,,,,,,0
8,2015-05-13,481.5,,,,,,,,,,,0
9,2015-05-14,514.25,,,,,,,,,,,0
10,2015-05-15,517.5,,,,,,,,,,,0
11,2015-05-18,529.25,,,,,,,,,,,0
12,2015-05-19,518.5,,,,,,,,,,,0
13,2015-05-20,520.0,,,,,,,,,,,0
14,2015-05-21,529.5,,,,,,,,,,,0
15,2015-05-22,523.0,,,,,,,,,,,0
16,2015-05-26,501.0,,,,,,,,,,,0
17,2015-05-27,492.75,,,,,,,,,,,0
18,2015-05-28,494.5,,,,,,,,,,,0
19,2015-05-29,482.25,2015-05-29,BOT,10.0,493.5,WEAT US EQUITY_WC2 COMDTY_1,ENTER,,2015-05-29,,493.5,0
20,2015-06-01,498.75,,,,,,,,,,,0
21,2015-06-02,517.25,,,,,,,,,,,0
22,2015-06-03,515.0,,,,,,,,,,,0
23,2015-06-04,529.25,,,,,,,,,,,0
24,2015-06-05,521.5,2015-06-05,SLD,-10.0,529.75,WEAT US EQUITY_WC2 COMDTY_1,EXIT,,2015-06-05,,529.75,0
25,2015-06-08,534.0,,,,,,,,,,,0
26,2015-06-09,538.75,,,,,,,,,,,0
27,2015-06-10,521.25,,,,,,,,,,,0
28,2015-06-11,511.5,,,,,,,,,,,0
29,2015-06-12,510.5,2015-06-12,BOT,10.0,511.5,WEAT US EQUITY_WC2 COMDTY_2,ENTER,,2015-06-12,,511.5,0
30,2015-06-15,495.25,,,,,,,,,,,0
31,2015-06-16,494.5,,,,,,,,,,,0
32,2015-06-17,497.0,,,,,,,,,,,0
33,2015-06-18,493.25,,,,,,,,,,,0
34,2015-06-19,492.5,2015-06-19,BOT,10.0,493.0,WEAT US EQUITY_WC2 COMDTY_3,ENTER,,2015-06-19,,493.0,0
35,2015-06-22,506.0,,,,,,,,,,,0
36,2015-06-23,527.0,,,,,,,,,,,0
37,2015-06-24,523.25,,,,,,,,,,,0
38,2015-06-25,538.0,,,,,,,,,,,0
39,2015-06-26,568.0,2015-06-26,SLD,-10.0,538.5,WEAT US EQUITY_WC2 COMDTY_2,EXIT,,2015-06-26,,538.5,0
40,2015-06-26,568.0,2015-06-26,SLD,-10.0,538.5,WEAT US EQUITY_WC2 COMDTY_3,EXIT,,2015-06-26,,538.5,0
41,2015-06-29,583.5,,,,,,,,,,,0
42,2015-06-30,615.75,,,,,,,,,,,0
43,2015-07-01,588.5,,,,,,,,,,,0
44,2015-07-02,590.5,,,,,,,,,,,0
45,2015-07-06,595.5,,,,,,,,,,,0
46,2015-07-07,585.25,,,,,,,,,,,0
47,2015-07-08,577.5,,,,,,,,,,,0
48,2015-07-09,578.0,,,,,,,,,,,0
49,2015-07-10,576.0,,,,,,,,,,,0
50,2015-07-13,575.75,,,,,,,,,,,0
51,2015-07-14,571.0,,,,,,,,,,,0
52,2015-07-15,574.5,,,,,,,,,,,0
53,2015-07-16,571.0,,,,,,,,,,,0
54,2015-07-17,563.5,2015-07-17,BOT,9.0,570.5,WEAT US EQUITY_WC2 COMDTY_5,ENTER,,2015-07-17,,570.5,0
55,2015-07-20,542.5,,,,,,,,,,,0
56,2015-07-21,533.25,,,,,,,,,,,0
57,2015-07-22,524.5,,,,,,,,,,,0
58,2015-07-23,528.75,,,,,,,,,,,0
59,2015-07-24,519.75,2015-07-24,BOT,10.0,527.75,WEAT US EQUITY_WC2 COMDTY_6,ENTER,,2015-07-24,,527.75,0
60,2015-07-27,511.75,,,,,,,,,,,0
61,2015-07-28,520.25,,,,,,,,,,,0
62,2015-07-29,505.25,,,,,,,,,,,0
63,2015-07-30,504.25,,,,,,,,,,,0
64,2015-07-31,504.75,2015-07-31,BOT,10.0,504.25,WEAT US EQUITY_WC2 COMDTY_7,ENTER,,2015-07-31,,504.25,0
65,2015-08-03,505.0,,,,,,,,,,,0
66,2015-08-04,500.25,,,,,,,,,,,0
67,2015-08-05,507.25,,,,,,,,,,,0
68,2015-08-06,511.25,,,,,,,,,,,0
69,2015-08-07,515.75,2015-08-07,SLD,-9.0,513.75,WEAT US EQUITY_WC2 COMDTY_5,EXIT,,2015-08-07,,513.75,0
70,2015-08-07,515.75,2015-08-07,SLD,-10.0,513.75,WEAT US EQUITY_WC2 COMDTY_6,EXIT,,2015-08-07,,513.75,0
71,2015-08-07,515.75,2015-08-07,SLD,-10.0,513.75,WEAT US EQUITY_WC2 COMDTY_7,EXIT,,2015-08-07,,513.75,0
72,2015-08-10,529.5,,,,,,,,,,,0
73,2015-08-11,512.25,,,,,,,,,,,0
74,2015-08-12,497.25,,,,,,,,,,,0
75,2015-08-13,509.0,,,,,,,,,,,0
76,2015-08-14,511.75,2015-08-14,BOT,10.0,509.0,WEAT US EQUITY_WC2 COMDTY_8,ENTER,,2015-08-14,,509.0,0
77,2015-08-17,504.5,,,,,,,,,,,0
78,2015-08-18,498.75,,,,,,,,,,,0
79,2015-08-19,500.0,,,,,,,,,,,0
80,2015-08-20,511.25,,,,,,,,,,,0
81,2015-08-21,504.0,2015-08-21,BOT,10.0,509.25,WEAT US EQUITY_WC2 COMDTY_9,ENTER,,2015-08-21,,509.25,0
82,2015-08-24,508.0,,,,,,,,,,,0
83,2015-08-25,499.5,,,,,,,,,,,0
84,2015-08-26,494.25,,,,,,,,,,,0
85,2015-08-27,489.75,,,,,,,,,,,0
86,2015-08-28,483.75,2015-08-28,SLD,-10.0,490.0,WEAT US EQUITY_WC2 COMDTY_8,EXIT,,2015-08-28,,490.0,0
87,2015-08-28,483.75,2015-08-28,SLD,-10.0,490.0,WEAT US EQUITY_WC2 COMDTY_9,EXIT,,2015-08-28,,490.0,0
88,2015-08-31,485.0,,,,,,,,,,,0
89,2015-09-01,486.25,,,,,,,,,,,0
90,2015-09-02,479.0,,,,,,,,,,,0
91,2015-09-03,465.25,,,,,,,,,,,0
92,2015-09-04,467.75,2015-09-04,BOT,10.0,466.0,WEAT US EQUITY_WC2 COMDTY_10,ENTER,,2015-09-04,,466.0,0
93,2015-09-08,475.0,,,,,,,,,,,0
94,2015-09-09,472.25,,,,,,,,,,,0
95,2015-09-10,478.0,,,,,,,,,,,0
96,2015-09-11,485.0,2015-09-11,SLD,-10.0,478.0,WEAT US EQUITY_WC2 COMDTY_10,EXIT,,2015-09-11,,478.0,0
97,2015-09-14,501.25,,,,,,,,,,,0
98,2015-09-15,502.5,,,,,,,,,,,0
99,2015-09-16,495.25,,,,,,,,,,,0
100,2015-09-17,488.5,,,,,,,,,,,0
101,2015-09-18,493.5,2015-09-18,BOT,10.0,489.5,WEAT US EQUITY_WC2 COMDTY_11,ENTER,,2015-09-18,,489.5,0
102,2015-09-21,504.0,,,,,,,,,,,0
103,2015-09-22,502.75,,,,,,,,,,,0
104,2015-09-23,515.0,,,,,,,,,,,0
105,2015-09-24,504.25,,,,,,,,,,,0
106,2015-09-25,515.0,2015-09-25,SLD,-10.0,504.75,WEAT US EQUITY_WC2 COMDTY_11,EXIT,,2015-09-25,,504.75,0
107,2015-09-28,512.75,,,,,,,,,,,0
108,2015-09-29,511.25,,,,,,,,,,,0
109,2015-09-30,519.5,,,,,,,,,,,0
110,2015-10-01,524.25,,,,,,,,,,,0
111,2015-10-02,519.0,,,,,,,,,,,0
112,2015-10-05,521.5,,,,,,,,,,,0
113,2015-10-06,533.0,,,,,,,,,,,0
114,2015-10-07,523.75,,,,,,,,,,,0
115,2015-10-08,519.0,,,,,,,,,,,0
116,2015-10-09,516.75,2015-10-09,BOT,10.0,518.25,WEAT US EQUITY_WC2 COMDTY_12,ENTER,,2015-10-09,,518.25,0
117,2015-10-12,514.5,,,,,,,,,,,0
118,2015-10-13,527.0,,,,,,,,,,,0
119,2015-10-14,516.25,,,,,,,,,,,0
120,2015-10-15,510.5,,,,,,,,,,,0
121,2015-10-16,500.0,2015-10-16,BOT,10.0,510.0,WEAT US EQUITY_WC2 COMDTY_13,ENTER,,2015-10-16,,510.0,0
122,2015-10-19,493.25,,,,,,,,,,,0
123,2015-10-20,498.25,,,,,,,,,,,0
124,2015-10-21,501.25,,,,,,,,,,,0
125,2015-10-22,497.0,,,,,,,,,,,0
126,2015-10-23,497.25,2015-10-23,BOT,10.0,497.0,WEAT US EQUITY_WC2 COMDTY_14,ENTER,,2015-10-23,,497.0,0
127,2015-10-26,514.75,,,,,,,,,,,0
128,2015-10-27,514.25,,,,,,,,,,,0
129,2015-10-28,511.75,,,,,,,,,,,0
130,2015-10-29,519.5,,,,,,,,,,,0
131,2015-10-30,525.5,2015-10-30,BOT,10.0,519.5,WEAT US EQUITY_WC2 COMDTY_15,ENTER,,2015-10-30,,519.5,0
