,PX_HIGH,PX_LAST,PX_OPEN,PX_LOW,PX_VOLUME,TR.TSVWAP,date,dates,pxs,totalcost,end_capital,investment_mv,unrealized_gl,realized_gl,total_gl,dailyreturn,win,loss,realized_before_commission,realized_return_pertrade,holding,long_mv,short_mv,cashflow,net_mv,gross_mv,dailyreturn_realized_percent,dailyreturn_total_percent,realized_return,total_return
0,6.94,6.9368,6.72,6.705,912581.0,6.8679,2018-05-01,2018-05-01,6.9368,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.0,6.91,6.92,6.842,236615.0,6.9224,2018-05-02,2018-05-02,6.91,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.04,7.0363,6.84,6.83,353166.0,6.9631,2018-05-03,2018-05-03,7.0363,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6.965,6.88,6.96,6.8639,225785.0,6.9144,2018-05-04,2018-05-04,6.88,10030.5,189969.5,9823.5,-207.0,0.0,-207.0,-207.0,0,0,0.0,0.0,2,9823.5,0.0,-10030.5,9823.5,9823.5,0.0,-0.005940250793904853,0.0,-0.005940250793904853
4,6.84,6.73,6.79,6.73,297441.0,6.7734,2018-05-07,2018-05-07,6.73,10030.5,189969.5,9533.25,-497.25,0.0,-497.25,-290.25,0,0,0.0,0.0,2,9533.25,0.0,0.0,9533.25,9533.25,0.0,-0.008329264700149195,0.0,-0.008329264700149195
5,6.83,6.8,6.73,6.73,151479.0,6.8069,2018-05-08,2018-05-08,6.8,10061.5,189938.5,9798.25,-263.25,0.0,-263.25,-11.25,0,0,0.0,0.0,2,9798.25,0.0,-4954.0,9798.25,9798.25,0.0,-0.0003228397170600463,0.0,-0.0003228397170600463
6,6.78,6.73,6.73,6.68,208613.0,6.7088,2018-05-09,2018-05-09,6.73,5107.5,144892.5,4783.5,-324.0,0.0,-324.0,-60.75,0,0,0.0,0.0,1,4783.5,0.0,0.0,4783.5,4783.5,0.0,-0.0017433344721242503,0.0,-0.0017433344721242503
7,6.75,6.69,6.71,6.63,245538.0,6.6806,2018-05-10,2018-05-10,6.69,5107.5,144892.5,4743.0,-364.5,0.0,-364.5,-40.5,0,0,0.0,0.0,1,4743.0,0.0,0.0,4743.0,4743.0,0.0,-0.001162222981416167,0.0,-0.001162222981416167
8,6.66,6.58,6.65,6.58,133943.0,6.6019,2018-05-11,2018-05-11,6.58,24108.5,175891.5,23195.5,-913.0,0.0,-913.0,-303.25,0,0,0.0,0.0,3,23195.5,0.0,-14078.0,23195.5,23195.5,0.0,-0.008702323928751915,0.0,-0.008702323928751915
9,6.56,6.51,6.55,6.5,146478.0,6.5255,2018-05-14,2018-05-14,6.51,14685.5,135314.5,13987.5,-698.0,0.0,-698.0,-176.5,0,0,0.0,0.0,2,13987.5,0.0,0.0,13987.5,13987.5,0.0,-0.0050649964498753934,0.0,-0.0050649964498753934
10,6.55,6.53,6.55,6.45,148554.0,6.4848,2018-05-15,2018-05-15,6.53,24108.5,225761.5,23594.5,-514.0,-130.0,-644.0,445.5,0,1,-130.0,-0.02624142107387969,3,23594.5,0.0,4824.0,23594.5,23594.5,-0.0037305922860272024,0.012784452795577836,-0.0037305922860272024,0.012784452795577836
11,6.57,6.53,6.57,6.49,84457.0,6.5284,2018-05-16,2018-05-16,6.53,24108.5,225761.5,23779.0,-329.5,0.0,-329.5,184.5,0,0,0.0,0.0,3,23779.0,0.0,0.0,23779.0,23779.0,0.0,0.00529457135978476,0.0,0.00529457135978476
12,6.62,6.56,6.59,6.53,224176.0,6.5813,2018-05-17,2018-05-17,6.56,24108.5,225761.5,23985.5,-123.0,0.0,-123.0,206.5,0,0,0.0,0.0,3,23985.5,0.0,0.0,23985.5,23985.5,0.0,0.005925902362035517,0.0,0.005925902362035517
13,6.81,6.8,6.63,6.616,349503.0,6.7344,2018-05-18,2018-05-18,6.8,14658.75,235232.25,15052.5,393.75,21.0,414.75,537.75,1,2,21.0,0.0037870439016570827,1,15052.5,0.0,9470.75,15052.5,15052.5,0.0006026341385120866,0.015431738475470216,0.0006026341385120866,0.015431738475470216
14,6.84,6.72,6.84,6.66,240306.0,6.715,2018-05-21,2018-05-21,6.72,14658.75,235232.25,14721.75,63.0,0.0,63.0,-330.75,0,0,0.0,0.0,1,14721.75,0.0,0.0,14721.75,14721.75,0.0,-0.009491487681565363,0.0,-0.009491487681565363
15,6.93,6.84,6.81,6.795,224748.0,6.8845,2018-05-22,2018-05-22,6.84,14658.75,235232.25,15099.75,441.0,0.0,441.0,378.0,0,0,0.0,0.0,1,15099.75,0.0,0.0,15099.75,15099.75,0.0,0.010847414493217557,0.0,0.010847414493217557
16,6.95,6.9499,6.86,6.82,207715.0,6.8923,2018-05-23,2018-05-23,6.9499,14658.75,235232.25,15396.75,738.0,0.0,738.0,297.0,0,0,0.0,0.0,1,15396.75,0.0,0.0,15396.75,15396.75,0.0,0.008522968530385224,0.0,0.008522968530385224
17,7.04,6.93,6.99,6.901,269564.0,6.9953,2018-05-24,2018-05-24,6.93,14658.75,235232.25,15322.5,663.75,0.0,663.75,-74.25,0,0,0.0,0.0,1,15322.5,0.0,0.0,15322.5,15322.5,0.0,-0.002130742132596306,0.0,-0.002130742132596306
18,7.08,7.06,6.98,6.96,204822.0,7.0267,2018-05-25,2018-05-25,7.06,24838.25,225052.75,26124.0,1285.75,0.0,1285.75,622.0,0,0,0.0,0.0,2,26124.0,0.0,-10179.5,26124.0,26124.0,0.0,0.01784944924545323,0.0,0.01784944924545323
19,7.09,7.0,7.09,6.9,715885.0,7.039,2018-05-29,2018-05-29,7.0,24838.25,225052.75,25706.0,867.75,0.0,867.75,-418.0,0,0,0.0,0.0,2,25706.0,0.0,0.0,25706.0,25706.0,0.0,-0.011995289042764389,0.0,-0.011995289042764389
20,6.87,6.84,6.87,6.768,146655.0,6.8084,2018-05-30,2018-05-30,6.84,24838.25,225052.75,25025.0,186.75,0.0,186.75,-681.0,0,0,0.0,0.0,2,25025.0,0.0,0.0,25025.0,25025.0,0.0,-0.019542564206034806,0.0,-0.019542564206034806
21,6.92,6.86,6.83,6.83,103585.0,6.8758,2018-05-31,2018-05-31,6.86,24838.25,225052.75,25083.0,244.75,0.0,244.75,58.0,0,0,0.0,0.0,2,25083.0,0.0,0.0,25083.0,25083.0,0.0,0.0016644180968429056,0.0,0.0016644180968429056
22,6.897,6.86,6.84,6.79,75176.0,6.8267,2018-06-01,2018-06-01,6.86,34618.0,215091.0,34923.75,305.75,-182.0,123.75,-121.0,0,1,-182.0,-0.03588328075709779,3,34923.75,0.0,-9961.75,34923.75,34923.75,-0.005222829200438083,-0.0034723205123791652,-0.005222829200438083,-0.0034723205123791652
23,6.81,6.7,6.81,6.66,558653.0,6.7023,2018-06-04,2018-06-04,6.7,34618.0,215091.0,33836.0,-782.0,0.0,-782.0,-1087.75,0,0,0.0,0.0,3,33836.0,0.0,0.0,33836.0,33836.0,0.0,-0.03121501353173915,0.0,-0.03121501353173915
24,6.84,6.74,6.77,6.73,433153.0,6.7754,2018-06-05,2018-06-05,6.74,34618.0,215091.0,34280.25,-337.75,0.0,-337.75,444.25,0,0,0.0,0.0,3,34280.25,0.0,0.0,34280.25,34280.25,0.0,0.012748581715904497,0.0,0.012748581715904497
25,6.96,6.87,6.85,6.8084,143048.0,6.894,2018-06-06,2018-06-06,6.87,34618.0,215091.0,34872.75,254.75,0.0,254.75,592.5,0,0,0.0,0.0,3,34872.75,0.0,0.0,34872.75,34872.75,0.0,0.01700289176516244,0.0,0.01700289176516244
