Date,pxs,total_return,realized_return
2018-05-01,532.25,0.0,0.0
2018-05-02,535.75,0.0,0.0
2018-05-03,547.5,0.0,0.0
2018-05-04,535.75,-0.002025,0.0
2018-05-07,519.75,-0.00288,0.0
2018-05-11,501.75,-0.002925,0.0
2018-05-15,509.75,0.00288,0.0
2018-05-16,514.0,0.00153,0.0
2018-05-17,519.0,0.0018,0.0
2018-05-18,538.75,0.003555,-0.00081
2018-05-18,538.75,-0.003555,-0.00081
2018-05-21,526.5,0.0,0.0
2018-05-22,540.5,0.0,0.0
2018-05-23,551.75,0.0,0.0
2018-05-24,549.0,0.0,0.0
2018-05-25,564.0,0.0,0.0
2018-05-29,556.5,0.0,0.0
2018-05-30,540.75,0.0,0.0
2018-05-31,542.5,0.0,0.0
2018-06-01,540.75,9e-05,0.0
2018-06-04,521.5,-0.003465,0.0
2018-06-05,529.0,0.00135,0.0
2018-06-06,539.75,0.001935,0.0
2018-06-07,544.5,0.000855,0.0
2018-06-08,538.25,-0.0027,0.0
2018-06-11,534.75,-0.00126,0.0
2018-06-12,553.5,0.00675,0.0
2018-06-13,539.0,-0.00522,0.0
2018-06-14,522.25,-0.00603,0.0
2018-06-15,519.75,-0.00135,0.0
2018-06-18,499.5,-0.010935,0.0
2018-06-19,483.0,-0.00891,0.0
2018-06-20,488.75,0.003105,0.0
2018-06-21,493.25,0.00243,0.0
2018-06-22,488.75,-0.00318,0.0
2018-06-25,469.75,-0.01406,0.0
2018-06-26,458.0,-0.008695,0.0
2018-06-27,460.25,0.001665,0.0
2018-06-28,453.25,-0.00518,0.0
2018-06-29,470.75,0.016745,0.0
2018-07-02,449.5,-0.0204,0.0
2018-07-03,462.25,0.01224,0.0
2018-07-05,482.0,0.01896,0.0
2018-07-06,492.25,0.008445,-0.00428625
2018-07-06,492.25,-0.001395,-0.00428625
2018-07-06,492.25,-0.001395,-0.00428625
2018-07-06,492.25,-0.00155,-0.0047625
2018-07-06,492.25,-0.001705,-0.00523875
2018-07-09,487.5,0.0,0.0
2018-07-10,483.75,0.0,0.0
2018-07-11,463.0,0.0,0.0
2018-07-12,470.25,0.0,0.0
2018-07-16,484.5,-0.001155,0.0
2018-07-17,490.75,0.001375,0.0
2018-07-18,487.75,-0.00066,0.0
2018-07-19,496.5,0.001925,0.0
2018-07-20,508.5,0.00011,0.001595
2018-07-23,510.75,0.0,0.0
2018-07-24,509.75,0.0,0.0
2018-07-25,540.75,0.0,0.0
2018-07-26,534.0,0.0,0.0
2018-07-27,532.5,0.0,0.0
2018-07-30,547.75,0.0,0.0
2018-07-31,556.5,0.0,0.0
2018-08-01,563.75,0.0,0.0
2018-08-02,569.25,0.0,0.0
2018-08-03,567.25,-0.00081,0.0
2018-08-06,586.0,0.003375,0.0
2018-08-07,579.5,-0.00117,0.0
2018-08-08,584.25,0.000855,0.0
2018-08-09,578.5,-0.001035,0.0
2018-08-10,559.75,-9e-05,0.001125
2018-08-13,540.75,0.0,0.0
2018-08-14,545.75,0.0,0.0
2018-08-15,535.25,0.0,0.0
2018-08-16,547.5,0.0,0.0
2018-08-17,565.0,0.00279,0.0
2018-08-20,547.25,-0.003195,0.0
2018-08-21,534.5,-0.002295,0.0
2018-08-22,530.0,-0.00081,0.0
2018-08-23,527.25,-0.000495,0.0
2018-08-24,519.25,-0.00297,0.0
2018-08-27,501.75,-0.0063,0.0
2018-08-28,499.25,-0.0009,0.0
2018-08-29,519.75,0.00738,0.0
2018-08-30,512.25,-0.0027,0.0
2018-08-31,523.0,0.00252,-0.0041625
2018-08-31,523.0,-0.00135,-0.0041625
2018-09-04,508.0,0.0,0.0
2018-09-05,501.75,0.0,0.0
2018-09-06,490.5,0.0,0.0
2018-09-07,488.5,-0.0002,0.0
2018-09-10,503.75,0.00305,0.0
2018-09-11,494.25,-0.0019,0.0
2018-09-12,482.5,-0.00235,0.0
2018-09-17,512.75,0.0051,0.0
2018-09-18,516.0,0.0013,0.0
2018-09-19,526.25,0.0041,0.0
2018-09-20,527.0,0.0003,0.0
2018-09-21,525.25,-0.00075,0.0043
2018-09-21,525.25,-5e-05,0.0043
2018-09-24,529.0,0.0,0.0
2018-09-25,522.0,0.0,0.0
2018-09-26,521.0,0.0,0.0
2018-09-27,517.25,0.0,0.0
2018-09-28,511.25,-0.00105,0.0
2018-10-01,511.5,5e-05,0.0
2018-10-02,522.5,0.0022,0.0
2018-10-03,518.75,-0.00075,0.0
2018-10-04,522.25,0.0007,0.0
2018-10-05,524.25,-5e-05,0.0011
2018-10-08,517.5,0.0,0.0
2018-10-09,519.5,0.0,0.0
2018-10-10,516.25,0.0,0.0
2018-10-11,513.75,0.0,0.0
2018-10-12,524.25,0.0,0.0
2018-10-15,531.75,0.0,0.0
2018-10-16,528.0,0.0,0.0
2018-10-17,521.0,0.0,0.0
2018-10-18,514.75,0.0,0.0
2018-10-19,516.25,0.00025,0.0
2018-10-22,507.75,-0.0017,0.0
2018-10-23,507.5,-5e-05,0.0
2018-10-24,497.0,-0.0021,0.0
2018-10-25,486.5,-0.0021,0.0
2018-10-26,500.25,0.0,-0.0057
2018-10-29,501.5,0.0,0.0
2018-10-30,494.75,0.0,0.0
2018-10-31,493.25,0.0,0.0
