Unnamed: 0,Date,closeprice,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,dailyreturn_percent,dailyreturn_realized_percent
0,2018-05-01,553.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,50000.0,50000.0,50000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,2018-05-02,555.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,50000.0,50000.0,50000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,2018-05-03,567.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,50000.0,50000.0,50000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3,2018-05-04,555.75,BOT,9.0,567.5,2018-05-04,WEAT US EQUITY_1KWC2 COMDTY_0,ENTER,,2018-05-04,,567.5,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,9.0,5107.5,567.5,5001.75,0,-105.75,49894.25,44892.5,50000.0,-5107.5,0,0,0.0,0.0,0.0,-105.75,-105.75,1,-0.002115,-0.002115,0.0
4,2018-05-07,539.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,9.0,5107.5,567.5,4855.5,0,-252.0,49748.0,44892.5,44892.5,0.0,0,0,0.0,0.0,0.0,-252.0,-146.25,1,-0.00504,-0.002925,0.0
5,2018-05-08,538.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,9.0,5107.5,567.5,4844.25,0,-263.25,49736.75,44892.5,44892.5,0.0,0,0,0.0,0.0,0.0,-263.25,-11.25,1,-0.005265,-0.000225,0.0
6,2018-05-09,531.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,9.0,5107.5,567.5,4783.5,0,-324.0,49676.0,44892.5,44892.5,0.0,0,0,0.0,0.0,0.0,-324.0,-60.75,1,-0.00648,-0.001215,0.0
7,2018-05-10,527.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,9.0,5107.5,567.5,4743.0,0,-364.5,49635.5,44892.5,44892.5,0.0,0,0,0.0,0.0,0.0,-364.5,-40.5,1,-0.00729,-0.00081,0.0
8,2018-05-11,518.0,BOT,9.0,524.0,2018-05-11,WEAT US EQUITY_1KWC2 COMDTY_1,ENTER,,2018-05-11,,524.0,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,18.0,9823.5,545.75,9324.0,0,-499.5,49500.5,40176.5,44892.5,-4716.0,0,0,0.0,0.0,0.0,-499.5,-135.0,1,-0.00999,-0.0027,0.0
9,2018-05-14,509.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,18.0,9823.5,545.75,9175.5,0,-648.0,49352.0,40176.5,40176.5,0.0,0,0,0.0,0.0,0.0,-648.0,-148.5,1,-0.01296,-0.00297,0.0
