Date,pxs,total_return,realized_return
2018-05-01,627.25,0.0,0.0
2018-05-02,630.75,0.0,0.0
2018-05-03,631.25,0.0,0.0
2018-05-08,619.25,0.0,0.0
2018-05-15,606.25,-0.0026,-0.0026
2018-05-16,611.25,0.0,0.0
2018-05-17,614.75,0.0,0.0
2018-05-18,629.0,0.0,0.0
2018-05-21,621.75,0.0,0.0
2018-05-22,633.0,0.0,0.0
2018-05-23,642.0,0.0,0.0
2018-05-24,634.75,0.0,0.0
2018-05-25,644.25,0.00164,0.0
2018-05-29,628.0,-0.0026,0.0
2018-05-30,611.5,-0.00264,0.0
2018-05-31,612.0,8e-05,0.0
2018-06-01,604.0,-0.00012,-0.00364
2018-06-04,593.25,0.0,0.0
2018-06-05,597.0,0.0,0.0
2018-06-06,598.25,0.0,0.0
2018-06-07,597.5,0.0,0.0
2018-06-08,592.5,-0.00088,0.0
2018-06-11,589.75,-0.00044,0.0
2018-06-12,592.5,0.00044,0.0
2018-06-13,584.5,-0.00128,0.0
2018-06-14,577.5,-0.00112,0.0
2018-06-15,570.75,-0.0027,0.0
2018-06-18,563.75,-0.00238,0.0
2018-06-19,549.5,-0.004845,0.0
2018-06-20,552.75,0.001105,0.0
2018-06-21,552.75,0.0,0.0
2018-06-22,549.0,-0.000675,-0.005694117647058829
2018-06-22,549.0,0.000675,-0.006405882352941162
2018-06-25,539.5,0.0,0.0
2018-06-26,532.5,0.0,0.0
2018-06-27,527.0,0.0,0.0
2018-06-28,521.5,0.0,0.0
2018-06-29,521.5,0.0,0.0
2018-07-02,512.0,0.0,0.0
2018-07-05,533.5,0.0,0.0
2018-07-06,545.75,0.0,0.0
2018-07-10,528.5,0.0,0.0
2018-07-11,519.75,0.0,0.0
2018-07-16,528.25,-0.0006,0.0
2018-07-17,533.25,0.001,0.0
2018-07-18,528.0,-0.00105,0.0
2018-07-19,536.75,0.00175,0.0
2018-07-20,555.0,0.0,0.0011
2018-07-23,562.0,0.0,0.0
2018-07-24,554.75,0.0,0.0
2018-07-25,587.25,0.0,0.0
2018-07-26,587.75,0.0,0.0
2018-07-27,592.5,0.001395,0.0
2018-07-30,601.0,0.00153,0.0
2018-07-31,606.25,0.000945,0.0
2018-08-01,608.0,0.000315,0.0
2018-08-02,610.5,0.00045,0.0
2018-08-03,612.75,9e-05,0.004725
2018-08-06,628.25,0.0,0.0
2018-08-07,627.75,0.0,0.0
2018-08-08,632.75,0.0,0.0
2018-08-09,629.75,0.0,0.0
2018-08-10,608.75,-0.00304,0.0
2018-08-13,592.75,-0.00256,0.0
2018-08-14,596.25,0.00056,0.0
2018-08-15,583.5,-0.00204,0.0
2018-08-16,596.25,0.00204,0.0
2018-08-17,608.5,0.00439,0.0
2018-08-20,594.25,-0.004845,0.0
2018-08-21,588.75,-0.00187,0.0
2018-08-22,586.25,-0.00085,0.0
2018-08-23,581.75,-0.00153,0.0
2018-08-24,572.75,-0.004545,0.0
2018-08-27,556.75,-0.00832,0.0
2018-08-28,554.5,-0.00117,0.0
2018-08-29,569.5,0.0078,0.0
2018-08-30,562.25,-0.00377,0.0
2018-08-31,583.75,0.01062,-0.0031969230769230855
2018-08-31,583.75,-0.00063,-0.0035965384615384505
2018-08-31,583.75,-0.00063,-0.0035965384615384505
2018-09-04,573.0,0.0,0.0
2018-09-05,564.0,0.0,0.0
2018-09-06,555.75,0.0,0.0
2018-09-07,555.25,0.00108,0.0
2018-09-10,559.75,0.00081,0.0
2018-09-11,564.25,0.00081,0.0
2018-09-12,551.0,-0.002385,0.0
2018-09-17,575.25,0.003735,0.00405
2018-09-18,580.25,0.0,0.0
2018-09-19,588.0,0.0,0.0
2018-09-20,588.5,0.0,0.0
2018-09-21,582.5,-0.000765,0.0
2018-09-24,584.25,0.000315,0.0
2018-09-25,581.0,-0.000585,0.0
2018-09-26,577.5,-0.00063,0.0
2018-09-27,580.0,0.00045,0.0
2018-09-28,572.5,4.5e-05,-0.00117
2018-10-01,577.25,0.0,0.0
2018-10-02,591.5,0.0,0.0
2018-10-03,589.75,0.0,0.0
2018-10-04,589.75,0.0,0.0
2018-10-05,591.25,0.0,0.0
2018-10-08,589.0,0.0,0.0
2018-10-09,593.5,0.0,0.0
2018-10-10,591.75,0.0,0.0
2018-10-11,589.5,0.0,0.0
2018-10-12,596.0,0.00116,0.0
2018-10-15,600.5,0.00072,0.0
2018-10-16,596.25,-0.00068,0.0
2018-10-17,588.25,-0.00128,0.0
2018-10-18,585.0,-0.00052,0.0
2018-10-19,588.75,0.0,-0.0006
2018-10-22,585.5,0.0,0.0
2018-10-23,585.0,0.0,0.0
2018-10-24,578.5,0.0,0.0
2018-10-25,569.5,0.0,0.0
2018-10-26,577.75,0.001485,0.0
2018-10-29,577.5,-4.5e-05,0.0
2018-10-30,571.5,-0.00108,0.0
2018-10-31,569.25,-0.000405,0.0
