,Date,closeprice,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission
0,2018-05-01,532.25,,,,,,,,,,,0
1,2018-05-02,535.75,,,,,,,,,,,0
2,2018-05-03,547.5,,,,,,,,,,,0
3,2018-05-04,535.75,BOT,9.0,547.0,2018-05-04,WEAT US EQUITY_1KWC1 COMDTY_0,ENTER,,2018-05-04,,547.0,0
4,2018-05-07,519.75,,,,,,,,,,,0
5,2018-05-11,501.75,BOT,9.0,500.0,2018-05-11,WEAT US EQUITY_1KWC1 COMDTY_1,ENTER,,2018-05-11,,500.0,0
6,2018-05-15,509.75,,,,,,,,,,,0
7,2018-05-16,514.0,,,,,,,,,,,0
8,2018-05-17,519.0,,,,,,,,,,,0
9,2018-05-18,538.75,SLD,-9.0,519.0,2018-05-18,WEAT US EQUITY_1KWC1 COMDTY_0,EXIT,,2018-05-18,,519.0,0
10,2018-05-18,538.75,SLD,-9.0,519.0,2018-05-18,WEAT US EQUITY_1KWC1 COMDTY_1,EXIT,,2018-05-18,,519.0,0
11,2018-05-21,526.5,,,,,,,,,,,0
12,2018-05-22,540.5,,,,,,,,,,,0
13,2018-05-23,551.75,,,,,,,,,,,0
14,2018-05-24,549.0,,,,,,,,,,,0
15,2018-05-25,564.0,,,,,,,,,,,0
16,2018-05-29,556.5,,,,,,,,,,,0
17,2018-05-30,540.75,,,,,,,,,,,0
18,2018-05-31,542.5,,,,,,,,,,,0
19,2018-06-01,540.75,BOT,9.0,540.25,2018-06-01,WEAT US EQUITY_1KWC1 COMDTY_2,ENTER,,2018-06-01,,540.25,0
20,2018-06-04,521.5,,,,,,,,,,,0
21,2018-06-05,529.0,,,,,,,,,,,0
22,2018-06-06,539.75,,,,,,,,,,,0
23,2018-06-07,544.5,,,,,,,,,,,0
24,2018-06-08,538.25,BOT,9.0,547.0,2018-06-08,WEAT US EQUITY_1KWC1 COMDTY_3,ENTER,,2018-06-08,,547.0,0
25,2018-06-11,534.75,,,,,,,,,,,0
26,2018-06-12,553.5,,,,,,,,,,,0
27,2018-06-13,539.0,,,,,,,,,,,0
28,2018-06-14,522.25,,,,,,,,,,,0
29,2018-06-15,519.75,BOT,9.0,522.25,2018-06-15,WEAT US EQUITY_1KWC1 COMDTY_4,ENTER,,2018-06-15,,522.25,0
30,2018-06-18,499.5,,,,,,,,,,,0
31,2018-06-19,483.0,,,,,,,,,,,0
32,2018-06-20,488.75,,,,,,,,,,,0
33,2018-06-21,493.25,,,,,,,,,,,0
34,2018-06-22,488.75,BOT,10.0,492.5,2018-06-22,WEAT US EQUITY_1KWC1 COMDTY_5,ENTER,,2018-06-22,,492.5,0
35,2018-06-25,469.75,,,,,,,,,,,0
36,2018-06-26,458.0,,,,,,,,,,,0
37,2018-06-27,460.25,,,,,,,,,,,0
38,2018-06-28,453.25,,,,,,,,,,,0
39,2018-06-29,470.75,BOT,11.0,453.5,2018-06-29,WEAT US EQUITY_1KWC1 COMDTY_6,ENTER,,2018-06-29,,453.5,0
40,2018-07-02,449.5,,,,,,,,,,,0
41,2018-07-03,462.25,,,,,,,,,,,0
42,2018-07-05,482.0,,,,,,,,,,,0
43,2018-07-06,492.25,SLD,-9.0,484.5,2018-07-06,WEAT US EQUITY_1KWC1 COMDTY_2,EXIT,,2018-07-06,,484.5,0
44,2018-07-06,492.25,SLD,-9.0,484.5,2018-07-06,WEAT US EQUITY_1KWC1 COMDTY_3,EXIT,,2018-07-06,,484.5,0
45,2018-07-06,492.25,SLD,-9.0,484.5,2018-07-06,WEAT US EQUITY_1KWC1 COMDTY_4,EXIT,,2018-07-06,,484.5,0
46,2018-07-06,492.25,SLD,-10.0,484.5,2018-07-06,WEAT US EQUITY_1KWC1 COMDTY_5,EXIT,,2018-07-06,,484.5,0
47,2018-07-06,492.25,SLD,-11.0,484.5,2018-07-06,WEAT US EQUITY_1KWC1 COMDTY_6,EXIT,,2018-07-06,,484.5,0
48,2018-07-09,487.5,,,,,,,,,,,0
49,2018-07-10,483.75,,,,,,,,,,,0
50,2018-07-11,463.0,,,,,,,,,,,0
51,2018-07-12,470.25,,,,,,,,,,,0
52,2018-07-16,484.5,BOT,11.0,489.75,2018-07-16,WEAT US EQUITY_1KWC1 COMDTY_7,ENTER,,2018-07-16,,489.75,0
53,2018-07-17,490.75,,,,,,,,,,,0
54,2018-07-18,487.75,,,,,,,,,,,0
55,2018-07-19,496.5,,,,,,,,,,,0
