,Date,closeprice,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission
0,2019-05-15,328.5643,,,,,,,,,,,0
1,2019-05-16,332.0316,,,,,,,,,,,0
2,2019-05-17,329.2976,,,,,,,,,,,0
3,2019-05-21,329.89768,,,,,,,,,,,0
4,2019-05-22,331.85352,,,,,,,,,,,0
5,2019-05-23,327.85978,,,,,,,,,,,0
6,2019-05-24,330.6336,,,,,,,,,,,0
7,2019-05-28,334.16199,,,,,,,,,,,0
8,2019-05-29,338.8389,,,,,,,,,,,0
9,2019-05-30,340.00946000000005,,,,,,,,,,,0
10,2019-05-31,339.98405,,,,,,,,,,,0
11,2019-06-03,338.83426,,,,,,,,,,,0
12,2019-06-04,338.28446,,,,,,,,,,,0
13,2019-06-05,335.53405999999995,,,,,,,,,,,0
14,2019-06-06,340.25201,,,,,,,,,,,0
15,2019-06-07,341.3808,,,,,,,,,,,0
16,2019-06-10,342.43584,,,,,,,,,,,0
17,2019-06-11,342.9004,,,,,,,,,,,0
18,2019-06-12,342.80475,,,,,,,,,,,0
19,2019-06-13,342.51195,,,,,,,,,,,0
20,2019-06-14,339.08245999999997,,,,,,,,,,,0
21,2019-06-17,342.63180000000006,,,,,,,,,,,0
22,2019-06-18,344.17769999999996,,,,,,,,,,,0
23,2019-06-19,342.94595,,,,,,,,,,,0
24,2019-06-20,345.54198,,,,,,,,,,,0
25,2019-06-21,342.81574,,,,,,,,,,,0
26,2019-06-24,343.00827000000004,,,,,,,,,,,0
27,2019-06-25,338.54052,,,,,,,,,,,0
28,2019-06-26,335.75736,,,,,,,,,,,0
29,2019-06-27,336.82396,,,,,,,,,,,0
30,2019-06-28,345.1924,,,,,,,,,,,0
31,2019-07-02,342.8159,,,,,,,,,,,0
32,2019-07-03,344.76316,,,,,,,,,,,0
33,2019-07-05,335.41872,BOT,15.0,337.8648,2019-07-05,WEAT US EQUITY_RSC1 COMDTY_0,ENTER,,2019-07-05,,337.8648,0
34,2019-07-09,335.90970000000004,,,,,,,,,,,0
35,2019-07-10,340.95423,,,,,,,,,,,0
36,2019-07-15,342.41478,SLD,-15.0,344.86662,2019-07-15,WEAT US EQUITY_RSC1 COMDTY_0,EXIT,,2019-07-15,,344.86662,0
37,2019-07-16,340.16467,,,,,,,,,,,0
38,2019-07-17,340.26942,,,,,,,,,,,0
39,2019-07-18,341.8445,,,,,,,,,,,0
40,2019-07-19,344.1688,BOT,15.0,340.95369999999997,2019-07-19,WEAT US EQUITY_RSC1 COMDTY_1,ENTER,,2019-07-19,,340.95369999999997,0
41,2019-07-22,340.6587,,,,,,,,,,,0
42,2019-07-23,340.68174999999997,,,,,,,,,,,0
43,2019-07-24,342.46714000000003,,,,,,,,,,,0
44,2019-07-25,340.98444,,,,,,,,,,,0
45,2019-07-26,342.15475,SLD,-15.0,341.0155,2019-07-26,WEAT US EQUITY_RSC1 COMDTY_1,EXIT,,2019-07-26,,341.0155,0
46,2019-07-29,341.36424,,,,,,,,,,,0
47,2019-07-30,341.0082,,,,,,,,,,,0
48,2019-07-31,336.173,,,,,,,,,,,0
49,2019-08-01,334.5056,,,,,,,,,,,0
50,2019-08-02,336.75808,BOT,15.0,334.6382,2019-08-02,WEAT US EQUITY_RSC1 COMDTY_2,ENTER,,2019-08-02,,334.6382,0
51,2019-08-06,337.2992,,,,,,,,,,,0
52,2019-08-07,337.81398,,,,,,,,,,,0
53,2019-08-08,341.8632,,,,,,,,,,,0
54,2019-08-09,343.25419000000005,SLD,-15.0,342.4227,2019-08-09,WEAT US EQUITY_RSC1 COMDTY_2,EXIT,,2019-08-09,,342.4227,0
55,2019-08-12,341.65247999999997,,,,,,,,,,,0
56,2019-08-13,339.41328999999996,,,,,,,,,,,0
57,2019-08-14,337.96514,,,,,,,,,,,0
58,2019-08-15,338.94144,,,,,,,,,,,0
59,2019-08-16,340.83815999999996,,,,,,,,,,,0
60,2019-08-19,337.83007999999995,,,,,,,,,,,0
61,2019-08-20,338.95626,,,,,,,,,,,0
62,2019-08-21,340.86713,,,,,,,,,,,0
63,2019-08-22,340.50464999999997,,,,,,,,,,,0
64,2019-08-23,338.63973,,,,,,,,,,,0
65,2019-08-26,338.22812,,,,,,,,,,,0
66,2019-08-27,336.04992,,,,,,,,,,,0
67,2019-08-28,336.55206,,,,,,,,,,,0
