Unnamed: 0,Date,closeprice,executeddate,Side,Shares,Price,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,dailyreturn_percent,dailyreturn_realized_percent
0,2020-05-01,498.25,2020-05-01,BOT,9.0,505.5,WEAT US EQUITY_MWEC1 COMDTY_0,ENTER,,2020-05-01,,505.5,0,./Chagoi_wheat_futures_2020-05-01_2020-10-31/signal_only_5WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,9.0,4549.5,505.5,4484.25,0,-65.25,49934.75,45450.5,50000.0,-4549.5,0,0,0.0,0.0,0.0,-65.25,-65.25,1,-0.001305,-0.001305,0.0
1,2020-05-15,506.25,2020-05-15,SLD,-9.0,507.75,WEAT US EQUITY_MWEC1 COMDTY_0,EXIT,,2020-05-15,,507.75,0,./Chagoi_wheat_futures_2020-05-01_2020-10-31/signal_only_5WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,50020.25,50020.25,45450.5,4569.75,1,0,20.25,0.004451038575667656,20.25,20.25,85.5,0,0.000405,0.00171,0.000405
2,2020-05-18,504.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2020-05-01_2020-10-31/signal_only_5WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,50020.25,50020.25,50020.25,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3,2020-05-19,508.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2020-05-01_2020-10-31/signal_only_5WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,50020.25,50020.25,50020.25,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4,2020-05-20,520.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2020-05-01_2020-10-31/signal_only_5WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,50020.25,50020.25,50020.25,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5,2020-05-21,518.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2020-05-01_2020-10-31/signal_only_5WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,50020.25,50020.25,50020.25,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6,2020-05-22,513.0,2020-05-22,BOT,10.0,517.5,WEAT US EQUITY_MWEC1 COMDTY_1,ENTER,,2020-05-22,,517.5,0,./Chagoi_wheat_futures_2020-05-01_2020-10-31/signal_only_5WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,10.0,5175.0,517.5,5130.0,0,-45.0,49975.25,44845.25,50020.25,-5175.0,0,0,0.0,0.0,0.0,-45.0,-45.0,1,-0.0009,-0.0009,0.0
7,2020-05-26,517.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2020-05-01_2020-10-31/signal_only_5WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,10.0,5175.0,517.5,5177.5,0,2.5,50022.75,44845.25,44845.25,0.0,0,0,0.0,0.0,0.0,2.5,47.5,1,5e-05,0.00095,0.0
8,2020-05-27,513.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2020-05-01_2020-10-31/signal_only_5WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,10.0,5175.0,517.5,5132.5,0,-42.5,49977.75,44845.25,44845.25,0.0,0,0,0.0,0.0,0.0,-42.5,-45.0,1,-0.00085,-0.0009,0.0
9,2020-05-28,519.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2020-05-01_2020-10-31/signal_only_5WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,10.0,5175.0,517.5,5192.5,0,17.5,50037.75,44845.25,44845.25,0.0,0,0,0.0,0.0,0.0,17.5,60.0,1,0.00035,0.0012,0.0
