,Date,closeprice,executeddate,Side,Shares,Price,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission
0,2020-05-01,506.75,2020-05-01,BOT,9.0,515.0,WEAT US EQUITY_MWEC2 COMDTY_0,ENTER,,2020-05-01,,515.0,0
1,2020-05-04,508.25,,,,,,,,,,,0
2,2020-05-05,510.25,,,,,,,,,,,0
3,2020-05-06,507.75,,,,,,,,,,,0
4,2020-05-07,511.0,,,,,,,,,,,0
5,2020-05-08,516.0,2020-05-08,BOT,10.0,510.0,WEAT US EQUITY_MWEC2 COMDTY_1,ENTER,,2020-05-08,,510.0,0
6,2020-05-11,518.75,,,,,,,,,,,0
7,2020-05-12,521.0,,,,,,,,,,,0
8,2020-05-13,508.25,,,,,,,,,,,0
9,2020-05-14,508.0,,,,,,,,,,,0
10,2020-05-15,518.0,2020-05-15,SLD,-9.0,519.5,WEAT US EQUITY_MWEC2 COMDTY_0,EXIT,,2020-05-15,,519.5,0
11,2020-05-15,518.0,2020-05-15,SLD,-10.0,519.5,WEAT US EQUITY_MWEC2 COMDTY_1,EXIT,,2020-05-15,,519.5,0
12,2020-05-18,516.25,,,,,,,,,,,0
13,2020-05-19,519.75,,,,,,,,,,,0
14,2020-05-20,531.75,,,,,,,,,,,0
15,2020-05-21,528.75,,,,,,,,,,,0
16,2020-05-22,524.25,2020-05-22,BOT,9.0,528.0,WEAT US EQUITY_MWEC2 COMDTY_2,ENTER,,2020-05-22,,528.0,0
17,2020-05-26,528.75,,,,,,,,,,,0
18,2020-05-27,524.5,,,,,,,,,,,0
19,2020-05-28,530.75,,,,,,,,,,,0
20,2020-05-29,536.0,2020-05-29,SLD,-9.0,530.25,WEAT US EQUITY_MWEC2 COMDTY_2,EXIT,,2020-05-29,,530.25,0
21,2020-06-01,532.0,,,,,,,,,,,0
22,2020-06-02,527.5,,,,,,,,,,,0
23,2020-06-03,531.25,,,,,,,,,,,0
24,2020-06-04,537.5,,,,,,,,,,,0
25,2020-06-05,530.75,2020-06-05,BOT,9.0,539.25,WEAT US EQUITY_MWEC2 COMDTY_3,ENTER,,2020-06-05,,539.25,0
26,2020-06-08,536.5,,,,,,,,,,,0
27,2020-06-09,536.5,,,,,,,,,,,0
28,2020-06-10,531.75,,,,,,,,,,,0
29,2020-06-11,526.0,,,,,,,,,,,0
