Date,pxs,total_return,realized_return
2021-05-03,725.5,0.0,0.0
2021-05-04,737.0,0.0,0.0
2021-05-05,755.75,0.0,0.0
2021-05-06,764.25,0.0,0.0
2021-05-07,773.5,0.0,0.0
2021-05-10,742.5,0.0,0.0
2021-05-11,759.75,0.0,0.0
2021-05-12,754.75,0.0,0.0
2021-05-13,726.5,0.0,0.0
2021-05-14,727.25,-0.00042,0.0
2021-05-17,699.75,-0.00385,0.0
2021-05-18,698.0,-0.000245,0.0
2021-05-19,679.25,-0.002625,0.0
2021-05-20,675.25,-0.00056,0.0
2021-05-21,674.25,-0.000315,0.0
2021-05-24,662.25,-0.00336,0.0
2021-05-25,656.5,-0.00161,0.0
2021-05-26,648.5,-0.00224,0.0
2021-05-27,676.25,0.00777,0.0
2021-05-28,663.5,-0.00557,0.0
2021-06-01,693.5,0.0132,0.0
2021-06-02,687.5,-0.00264,0.0
2021-06-03,676.25,-0.00495,0.0
2021-06-04,687.75,0.003765,-0.002044318181818185
2021-06-04,687.75,-0.001295,-0.002044318181818185
2021-06-04,687.75,-0.00148,-0.0023363636363636395
2021-06-07,680.0,0.0,0.0
2021-06-08,685.0,0.0,0.0
2021-06-09,682.25,0.0,0.0
2021-06-10,683.75,0.0,0.0
2021-06-11,680.75,-0.00021,0.0
2021-06-14,674.5,-0.000875,0.0
2021-06-15,661.5,-0.00182,0.0
2021-06-16,662.75,0.000175,0.0
2021-06-17,639.0,-0.003325,0.0
2021-06-18,662.75,0.007125,0.0
2021-06-21,661.5,-0.000375,0.0
2021-06-22,651.0,-0.00315,0.0
2021-06-23,661.25,0.003075,0.0
2021-06-24,651.25,-0.003,0.0
2021-06-25,637.0,-0.006435,0.0
2021-06-28,646.0,0.00414,0.0
2021-06-29,639.75,-0.002875,0.0
2021-06-30,671.5,0.014605,0.0
2021-07-01,658.5,-0.00598,0.0
2021-07-02,645.75,-0.00373,0.0006771739130434776
2021-07-02,645.75,0.00244,0.00077391304347826
2021-07-02,645.75,0.00244,0.00077391304347826
2021-07-06,620.0,0.0,0.0
2021-07-07,614.75,0.0,0.0
2021-07-08,612.25,0.0,0.0
2021-07-09,608.5,8e-05,0.0
2021-07-12,635.0,0.00424,0.0
2021-07-13,628.75,-0.001,0.0
2021-07-15,672.0,0.00692,0.0
2021-07-16,692.5,-4e-05,0.0102
2021-07-19,697.75,0.0,0.0
2021-07-20,700.5,0.0,0.0
2021-07-21,710.75,0.0,0.0
2021-07-22,692.25,0.0,0.0
2021-07-23,684.0,-0.00056,0.0
2021-07-26,677.0,-0.00098,0.0
2021-07-27,674.5,-0.00035,0.0
2021-07-28,688.75,0.001995,0.0
2021-07-29,705.25,0.00231,0.0
2021-07-30,703.75,-3.5e-05,0.00238
2021-08-02,729.5,0.0,0.0
2021-08-03,724.5,0.0,0.0
2021-08-04,717.25,0.0,0.0
2021-08-05,712.75,0.0,0.0
2021-08-06,719.0,0.0,0.0
2021-08-09,711.25,0.0,0.0
2021-08-10,727.0,0.0,0.0
2021-08-11,727.0,0.0,0.0
2021-08-12,753.5,0.0,0.0
2021-08-13,762.25,0.0,0.0
2021-08-16,760.5,0.0,0.0
2021-08-17,734.5,0.0,0.0
2021-08-18,737.25,0.0,0.0
2021-08-19,727.5,0.0,0.0
2021-08-20,714.25,-0.001855,0.0
2021-08-23,719.75,0.00077,0.0
2021-08-24,718.0,-0.000245,0.0
2021-08-25,711.25,-0.000945,0.0
2021-08-26,725.25,0.00196,0.0
2021-08-27,718.5,7e-05,-0.000245
2021-08-30,708.75,0.0,0.0
2021-08-31,706.75,0.0,0.0
2021-09-01,701.0,0.0,0.0
2021-09-02,704.0,0.0,0.0
2021-09-03,714.5,0.00175,0.0
2021-09-07,708.75,-0.000805,0.0
2021-09-08,698.25,-0.00147,0.0
2021-09-09,681.5,-0.002345,0.0
2021-09-10,675.0,-0.00196,0.0
2021-09-13,674.5,-0.00014,0.0
2021-09-14,685.0,0.00294,0.0
2021-09-15,712.25,0.00763,0.0
2021-09-16,713.0,0.00021,0.0
2021-09-17,708.75,-0.00049,0.00301
2021-09-17,708.75,0.0007,0.00301
2021-09-20,700.75,0.0,0.0
2021-09-21,690.25,0.0,0.0
2021-09-22,705.75,0.0,0.0
2021-09-23,717.75,0.0,0.0
2021-09-24,723.75,0.0,0.0
2021-09-27,722.25,0.0,0.0
2021-09-28,706.5,0.0,0.0
2021-09-29,710.25,0.0,0.0
2021-09-30,725.5,0.0,0.0
2021-10-01,755.25,0.0,0.0
2021-10-04,756.5,0.0,0.0
2021-10-05,744.75,0.0,0.0
2021-10-06,746.0,0.0,0.0
2021-10-07,741.25,0.0,0.0
2021-10-08,734.0,-0.000735,0.0
2021-10-11,731.75,-0.000315,0.0
2021-10-12,734.0,0.000315,0.0
2021-10-13,718.75,-0.002135,0.0
2021-10-14,724.75,0.00084,0.0
2021-10-15,734.0,3.5e-05,-0.001995
2021-10-18,736.25,0.0,0.0
2021-10-19,736.0,0.0,0.0
2021-10-20,749.25,0.0,0.0
2021-10-21,741.25,0.0,0.0
2021-10-22,756.0,0.0,0.0
2021-10-25,759.5,0.0,0.0
2021-10-26,752.25,0.0,0.0
2021-10-27,759.75,0.0,0.0
2021-10-28,772.5,0.0,0.0
2021-10-29,772.75,0.0,0.0
