Date,pxs,total_return,realized_return
2022-05-02,1002.0,0.0,0.0
2022-05-03,997.5,0.0,0.0
2022-05-04,1015.75,0.0,0.0
2022-05-05,1036.0,0.0,0.0
2022-05-06,1027.5,0.0004,0.0
2022-05-09,1019.75,-0.000775,0.0
2022-05-10,1026.75,0.0007,0.0
2022-05-11,1039.25,0.00125,0.0
2022-05-12,1088.25,0.0049,0.0
2022-05-13,1071.75,-0.003775,0.0
2022-05-16,1077.75,0.0012,0.0
2022-05-17,1117.0,0.00785,0.0
2022-05-18,1097.5,-0.0039,0.0
2022-05-19,1084.75,-0.00255,0.0
2022-05-20,1069.25,-0.003775,0.0
2022-05-23,1089.25,0.006,0.0
2022-05-24,1076.25,-0.0039,0.0
2022-05-25,1057.5,-0.005625,0.0
2022-05-26,1065.25,0.002325,0.0
2022-05-27,1081.25,0.006425,0.0
2022-05-31,1034.75,-0.0186,0.0
2022-06-01,996.25,-0.0154,0.0
2022-06-02,1025.0,0.0115,0.0
2022-06-03,1029.0,0.001925,0.0
2022-06-06,1075.0,0.023,0.0
2022-06-07,1074.0,-0.0005,0.0
2022-06-08,1080.5,0.00325,0.0
2022-06-09,1071.5,-0.0045,0.0
2022-06-10,1069.25,-0.00145,0.0
2022-06-13,1081.75,0.0075,0.0
2022-06-14,1055.0,-0.01605,0.0
2022-06-15,1051.5,-0.0021,0.0
2022-06-16,1070.75,0.01155,0.0
2022-06-17,1039.25,-0.021675,0.0
2022-06-21,984.75,-0.03815,0.0
2022-06-22,984.5,-0.000175,0.0
2022-06-23,944.5,-0.028,0.0
2022-06-24,931.25,-0.009725,0.0
2022-06-27,917.25,-0.0112,0.0
2022-06-28,928.0,0.0086,0.0
2022-06-29,927.5,-0.0004,0.0
2022-06-30,887.75,-0.0318,0.0
2022-07-01,869.25,-0.017625,0.0
2022-07-05,829.0,-0.036225,0.0
2022-07-06,819.0,-0.009,0.0
2022-07-07,844.25,0.022725,0.0
2022-07-08,892.5,0.047775,0.0
2022-07-11,862.5,-0.0306,0.0
2022-07-12,828.75,-0.034425,0.0
2022-07-13,825.25,-0.00357,0.0
2022-07-14,815.5,-0.009945,0.0
2022-07-15,805.0,-0.01173,0.0
2022-07-18,839.75,0.039615,0.0
2022-07-19,839.75,0.0,0.0
2022-07-20,839.75,0.0,0.0
2022-07-21,827.25,-0.01425,0.0
2022-07-22,799.75,-0.03381,0.0
2022-07-25,804.25,0.00567,0.0
2022-07-26,832.5,0.035595,0.0
2022-07-27,829.0,-0.00441,0.0
2022-07-28,853.25,0.030555,0.0
2022-07-29,851.25,-0.00261,0.0
2022-08-01,848.75,-0.00345,0.0
2022-08-02,829.0,-0.027255,0.0
2022-08-03,818.25,-0.014835,0.0
2022-08-04,833.25,0.0207,0.0
2022-08-05,837.0,0.004335,0.0
2022-08-08,839.75,0.004125,0.0
2022-08-09,837.0,-0.004125,0.0
2022-08-10,849.75,0.019125,0.0
2022-08-11,855.5,0.008625,0.0
2022-08-12,850.0,-0.00813,0.0
2022-08-15,846.75,-0.005265,0.0
2022-08-16,833.25,-0.02187,0.0
2022-08-17,814.25,-0.03078,0.0
2022-08-18,789.75,-0.03969,0.0
2022-08-19,807.75,0.03063,0.0
2022-08-22,829.5,0.037845,0.0
2022-08-23,845.5,0.02784,0.0
2022-08-24,850.0,0.00783,0.0
2022-08-25,826.75,-0.040455,0.0
2022-08-26,847.0,0.037965,0.0
2022-08-29,878.25,0.058125,0.0
2022-08-30,863.5,-0.027435,0.0
2022-08-31,875.5,0.02232,0.0
2022-09-01,840.5,-0.0651,0.0
2022-09-02,855.5,0.02955,0.0
2022-09-06,857.0,0.00297,0.0
2022-09-07,872.5,0.03069,0.0
2022-09-08,863.75,-0.017325,0.0
2022-09-09,893.25,0.06216,0.0
2022-09-12,883.75,-0.01995,0.0
2022-09-13,887.75,0.0084,0.0
2022-09-14,895.75,0.0168,0.0
2022-09-15,865.5,-0.063525,0.0
2022-09-16,882.25,0.036645,0.0
2022-09-19,859.0,-0.051615,0.0
2022-09-20,907.0,0.10656,0.0
2022-09-21,909.0,0.00444,0.0
2022-09-22,912.75,0.008325,0.0
2022-09-23,889.75,-0.0528,0.0
2022-09-26,867.0,-0.053235,0.0
2022-09-27,874.25,0.016965,0.0
2022-09-28,899.0,0.057915,0.0
2022-09-29,896.0,-0.00702,0.0
2022-09-30,905.0,0.02205,0.0
2022-10-03,904.0,-0.00246,0.0
2022-10-04,900.75,-0.007995,0.0
2022-10-05,907.5,0.016605,0.0
2022-10-06,893.25,-0.035055,0.0
2022-10-07,897.75,0.011345,0.0
2022-10-10,933.5,0.09152,0.0
2022-10-11,907.75,-0.06592,0.0
2022-10-12,900.0,-0.01984,0.0
2022-10-13,905.0,0.0128,0.0
2022-10-14,885.25,-0.052235,0.0
2022-10-17,887.25,0.00532,0.0
2022-10-18,880.25,-0.01862,0.0
2022-10-19,872.25,-0.02128,0.0
2022-10-20,887.25,0.0399,0.0
2022-10-21,888.0,0.002475,0.0
2022-10-24,878.25,-0.027105,0.0
2022-10-25,878.25,0.0,0.0
2022-10-26,881.75,0.00973,0.0
2022-10-27,881.75,0.0,0.0
2022-10-28,875.75,-0.01698,0.0
2022-10-31,908.5,0.094975,0.0
