,Date,closeprice,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission
0,2022-05-02,1167.75,,,,,,,,,,,0
1,2022-05-03,1155.5,,,,,,,,,,,0
2,2022-05-04,1177.25,,,,,,,,,,,0
3,2022-05-05,1209.75,,,,,,,,,,,0
4,2022-05-06,1208.75,,,,,,,,,,,0
5,2022-05-09,1206.75,,,,,,,,,,,0
6,2022-05-10,1213.5,,,,,,,,,,,0
7,2022-05-11,1256.0,,,,,,,,,,,0
8,2022-05-12,1316.0,,,,,,,,,,,0
9,2022-05-13,1325.0,,,,,,,,,,,0
10,2022-05-16,1378.75,,,,,,,,,,,0
11,2022-05-17,1389.5,,,,,,,,,,,0
12,2022-05-18,1351.25,,,,,,,,,,,0
13,2022-05-19,1329.0,,,,,,,,,,,0
14,2022-05-20,1278.75,,,,,,,,,,,0
15,2022-05-23,1297.5,,,,,,,,,,,0
16,2022-05-24,1277.0,,,,,,,,,,,0
17,2022-05-25,1280.5,,,,,,,,,,,0
18,2022-05-26,1291.75,,,,,,,,,,,0
19,2022-05-27,1304.75,,,,,,,,,,,0
20,2022-05-31,1247.5,,,,,,,,,,,0
21,2022-06-01,1197.25,,,,,,,,,,,0
22,2022-06-02,1201.5,,,,,,,,,,,0
23,2022-06-03,1193.5,,,,,,,,,,,0
24,2022-06-06,1230.5,,,,,,,,,,,0
25,2022-06-07,1224.75,,,,,,,,,,,0
26,2022-06-08,1233.75,,,,,,,,,,,0
27,2022-06-09,1222.25,,,,,,,,,,,0
28,2022-06-10,1221.25,,,,,,,,,,,0
29,2022-06-13,1221.75,,,,,,,,,,,0
30,2022-06-14,1208.5,,,,,,,,,,,0
31,2022-06-15,1201.5,,,,,,,,,,,0
32,2022-06-16,1209.5,,,,,,,,,,,0
33,2022-06-17,1170.0,,,,,,,,,,,0
34,2022-06-21,1118.0,,,,,,,,,,,0
35,2022-06-22,1105.75,,,,,,,,,,,0
36,2022-06-23,1079.75,,,,,,,,,,,0
37,2022-06-24,1070.5,,,,,,,,,,,0
38,2022-06-27,1044.5,,,,,,,,,,,0
39,2022-06-28,1040.75,,,,,,,,,,,0
40,2022-06-29,1028.5,,,,,,,,,,,0
41,2022-06-30,990.0,,,,,,,,,,,0
42,2022-07-01,948.0,,,,,,,,,,,0
43,2022-07-05,890.0,,,,,,,,,,,0
44,2022-07-06,886.25,,,,,,,,,,,0
45,2022-07-07,934.5,,,,,,,,,,,0
46,2022-07-08,991.75,,,,,,,,,,,0
47,2022-07-11,963.75,,,,,,,,,,,0
48,2022-07-12,918.75,,,,,,,,,,,0
49,2022-07-13,913.75,,,,,,,,,,,0
50,2022-07-14,910.5,,,,,,,,,,,0
51,2022-07-15,919.75,BOT,5.0,924.5,2022-07-15,WEAT US EQUITY_MWEC2 COMDTY_0,ENTER,,2022-07-15,,924.5,0
52,2022-07-18,950.25,,,,,,,,,,,0
53,2022-07-19,941.5,,,,,,,,,,,0
54,2022-07-20,935.25,,,,,,,,,,,0
55,2022-07-21,923.0,,,,,,,,,,,0
56,2022-07-22,884.5,SLD,-5.0,922.75,2022-07-22,WEAT US EQUITY_MWEC2 COMDTY_0,EXIT,,2022-07-22,,922.75,0
57,2022-07-25,896.75,,,,,,,,,,,0
58,2022-07-26,939.5,,,,,,,,,,,0
59,2022-07-27,922.0,,,,,,,,,,,0
60,2022-07-28,940.25,,,,,,,,,,,0
61,2022-07-29,918.5,,,,,,,,,,,0
62,2022-08-01,910.25,,,,,,,,,,,0
63,2022-08-02,886.75,,,,,,,,,,,0
64,2022-08-03,889.0,,,,,,,,,,,0
65,2022-08-04,908.75,,,,,,,,,,,0
66,2022-08-05,900.5,BOT,6.0,908.75,2022-08-05,WEAT US EQUITY_MWEC2 COMDTY_1,ENTER,,2022-08-05,,908.75,0
67,2022-08-08,894.75,,,,,,,,,,,0
68,2022-08-09,906.5,,,,,,,,,,,0
69,2022-08-10,919.25,,,,,,,,,,,0
70,2022-08-11,935.0,,,,,,,,,,,0
71,2022-08-12,932.0,SLD,-6.0,933.0,2022-08-12,WEAT US EQUITY_MWEC2 COMDTY_1,EXIT,,2022-08-12,,933.0,0
72,2022-08-15,922.5,,,,,,,,,,,0
73,2022-08-16,912.25,,,,,,,,,,,0
74,2022-08-17,894.25,,,,,,,,,,,0
75,2022-08-18,864.75,,,,,,,,,,,0
76,2022-08-19,887.0,BOT,6.0,865.0,2022-08-19,WEAT US EQUITY_MWEC2 COMDTY_2,ENTER,,2022-08-19,,865.0,0
