,Date,closeprice,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission
0,2022-05-02,1002.0,,,,,,,,,,,0
1,2022-05-03,997.5,,,,,,,,,,,0
2,2022-05-04,1015.75,,,,,,,,,,,0
3,2022-05-05,1036.0,,,,,,,,,,,0
4,2022-05-06,1027.5,BOT,5.0,1023.5,2022-05-06,WEAT US EQUITY_WZ3 COMDTY_0,ENTER,,2022-05-06,,1023.5,0
5,2022-05-09,1019.75,,,,,,,,,,,0
6,2022-05-10,1026.75,,,,,,,,,,,0
7,2022-05-11,1039.25,,,,,,,,,,,0
8,2022-05-12,1088.25,,,,,,,,,,,0
9,2022-05-13,1071.75,BOT,5.0,1093.0,2022-05-13,WEAT US EQUITY_WZ3 COMDTY_1,ENTER,,2022-05-13,,1093.0,0
10,2022-05-16,1077.75,,,,,,,,,,,0
11,2022-05-17,1117.0,,,,,,,,,,,0
12,2022-05-18,1097.5,,,,,,,,,,,0
13,2022-05-19,1084.75,,,,,,,,,,,0
14,2022-05-20,1069.25,BOT,5.0,1076.0,2022-05-20,WEAT US EQUITY_WZ3 COMDTY_2,ENTER,,2022-05-20,,1076.0,0
15,2022-05-23,1089.25,,,,,,,,,,,0
16,2022-05-24,1076.25,,,,,,,,,,,0
17,2022-05-25,1057.5,,,,,,,,,,,0
18,2022-05-26,1065.25,,,,,,,,,,,0
19,2022-05-27,1081.25,BOT,5.0,1065.0,2022-05-27,WEAT US EQUITY_WZ3 COMDTY_3,ENTER,,2022-05-27,,1065.0,0
20,2022-05-31,1034.75,,,,,,,,,,,0
21,2022-06-01,996.25,,,,,,,,,,,0
22,2022-06-02,1025.0,,,,,,,,,,,0
23,2022-06-03,1029.0,BOT,5.0,1025.75,2022-06-03,WEAT US EQUITY_WZ3 COMDTY_4,ENTER,,2022-06-03,,1025.75,0
24,2022-06-06,1075.0,,,,,,,,,,,0
25,2022-06-07,1074.0,,,,,,,,,,,0
26,2022-06-08,1080.5,,,,,,,,,,,0
27,2022-06-09,1071.5,,,,,,,,,,,0
28,2022-06-10,1069.25,BOT,5.0,1072.5,2022-06-10,WEAT US EQUITY_WZ3 COMDTY_5,ENTER,,2022-06-10,,1072.5,0
29,2022-06-13,1081.75,,,,,,,,,,,0
30,2022-06-14,1055.0,,,,,,,,,,,0
31,2022-06-15,1051.5,,,,,,,,,,,0
32,2022-06-16,1070.75,,,,,,,,,,,0
33,2022-06-17,1039.25,BOT,5.0,1067.0,2022-06-17,WEAT US EQUITY_WZ3 COMDTY_6,ENTER,,2022-06-17,,1067.0,0
34,2022-06-21,984.75,,,,,,,,,,,0
35,2022-06-22,984.5,,,,,,,,,,,0
36,2022-06-23,944.5,,,,,,,,,,,0
37,2022-06-24,931.25,BOT,5.0,935.75,2022-06-24,WEAT US EQUITY_WZ3 COMDTY_7,ENTER,,2022-06-24,,935.75,0
38,2022-06-27,917.25,,,,,,,,,,,0
39,2022-06-28,928.0,,,,,,,,,,,0
40,2022-06-29,927.5,,,,,,,,,,,0
41,2022-06-30,887.75,,,,,,,,,,,0
