township,range,meridian,baserate,riskarea
1,1,4,5,4
1,2,4,6,4
1,3,4,6,4
1,4,4,6,4
1,5,4,6,4
1,6,4,6,4
1,7,4,6,4
1,8,4,6,4
1,9,4,6,4
1,10,4,7,4
1,11,4,5,3
1,12,4,5,3
1,13,4,5,3
1,14,4,5,3
1,15,4,5,3
1,16,4,4,3
1,17,4,5,2
1,18,4,6,2
1,19,4,6,2
1,20,4,7,2
1,21,4,11,2
1,22,4,12,2
1,23,4,10,2
1,24,4,8,2
1,25,4,7,2
1,26,4,7,2
1,27,4,7,1
1,28,4,6,1
1,29,4,6,1
1,30,4,6,1
1,1,5,6,1
2,1,4,5,4
2,2,4,5,4
2,3,4,6,4
2,4,4,6,4
2,5,4,6,4
2,6,4,6,4
2,7,4,6,4
2,8,4,6,4
2,9,4,6,4
2,10,4,6,4
2,11,4,6,3
2,12,4,5,3
2,13,4,6,3
2,14,4,6,3
2,15,4,4,3
2,16,4,4,3
2,17,4,5,2
2,18,4,6,2
2,19,4,6,2
2,20,4,7,2
2,21,4,9,2
2,22,4,8,2
2,23,4,9,2
2,24,4,9,2
2,25,4,10,2
2,26,4,7,2
2,27,4,7,1
2,28,4,6,1
2,29,4,6,1
2,30,4,6,1
2,1,5,6,1
2,2,5,6,1
3,1,4,6,4
3,2,4,5,4
3,3,4,5,4
3,4,4,5,4
3,5,4,6,4
3,6,4,5,4
3,7,4,5,4
3,8,4,6,4
3,9,4,6,4
3,10,4,7,4
3,11,4,6,4
3,12,4,7,3
3,13,4,7,3
3,14,4,7,3
3,15,4,6,3
3,16,4,6,3
3,17,4,6,2
3,18,4,6,2
3,19,4,6,2
3,20,4,6,2
3,21,4,6,2
3,22,4,6,2
3,23,4,7,2
3,24,4,9,2
3,25,4,9,2
3,26,4,9,2
3,27,4,8,2
3,28,4,6,1
3,29,4,6,1
3,30,4,6,1
3,1,5,6,1
3,2,5,6,1
3,3,5,6,1
4,1,4,6,4
4,2,4,5,4
4,3,4,5,4
4,4,4,5,4
4,5,4,5,4
4,6,4,5,4
4,7,4,5,4
4,8,4,5,4
4,9,4,6,3
4,10,4,7,3
4,11,4,6,3
4,12,4,8,3
4,13,4,8,3
4,14,4,7,3
4,15,4,6,3
4,16,4,7,3
4,17,4,8,2
4,18,4,7,2
4,19,4,5,2
4,20,4,5,2
4,21,4,5,2
4,22,4,5,2
4,23,4,5,2
4,24,4,7,2
4,25,4,6,2
4,26,4,6,2
4,27,4,8,2
4,28,4,7,2
4,29,4,6,2
4,30,4,6,1
4,1,5,6,1
4,2,5,7,1
4,3,5,7,1
4,4,5,6,1
5,1,4,6,4
5,2,4,6,4
5,3,4,5,4
5,4,4,5,4
5,5,4,5,4
5,6,4,4,4
5,7,4,4,4
5,8,4,5,4
5,9,4,6,3
5,10,4,6,3
5,11,4,6,3
5,12,4,6,3
5,13,4,7,3
5,14,4,5,3
5,15,4,6,3
5,16,4,5,3
5,17,4,5,2
5,18,4,6,2
5,19,4,6,2
5,20,4,6,2
5,21,4,5,2
5,22,4,5,2
