riskarea,crop,field,coverage,premium
5,barley,F,50,0.0076 
5,barley,F,60,0.0142
5,barley,F,70,0.0206
5,barley,F,80,0.0293
5,barley,S,50,0.0078
5,barley,S,60,0.0144
5,barley,S,70,0.0204
5,barley,S,80,0.0285
5,canolaargentine,F,50,0.0136
5,canolaargentine,F,60,0.0241
5,canolaargentine,F,70,0.0349
5,canolaargentine,F,80,0.0492
5,canolaargentine,S,50,0.0144
5,canolaargentine,S,60,0.0249
5,canolaargentine,S,70,0.0352
5,canolaargentine,S,80,0.0483
5,canolapolish,F,50,0.0149
5,canolapolish,F,60,0.0265
5,canolapolish,F,70,0.0384
5,canolapolish,F,80,0.0542
5,canolapolish,S,50,0.0178
5,canolapolish,S,60,0.0308
5,canolapolish,S,70,0.0438
5,canolapolish,S,80,0.0604
5,CPS,F,50,0.0124
5,CPS,F,60,0.0228
5,CPS,F,70,0.0335
5,CPS,F,80,0.0483
5,CPS,S,50,0.0128
5,CPS,S,60,0.0230
5,CPS,S,70,0.0330
5,CPS,S,80,0.0462
5,HRS,F,50,0.0063
5,HRS,F,60,0.0120
5,HRS,F,70,0.0173
5,HRS,F,80,0.0248
5,HRS,S,50,0.0069
5,HRS,S,60,0.0131
5,HRS,S,70,0.0188
5,HRS,S,80,0.0264
7,barley,F,50,0.0057
7,barley,F,60,0.0107
7,barley,F,70,0.0153
7,barley,F,80,0.0218
7,barley,S,50,0.0057
7,barley,S,60,0.0107
7,barley,S,70,0.0153
7,barley,S,80,0.0218
7,canolaargentine,F,50,0.0095
7,canolaargentine,F,60,0.0167
7,canolaargentine,F,70,0.0236
7,canolaargentine,F,80,0.0328
7,canolaargentine,S,50,0.0095
7,canolaargentine,S,60,0.0167
7,canolaargentine,S,70,0.0236
7,canolaargentine,S,80,0.0328
7,canolapolish,F,50,0.0126
7,canolapolish,F,60,0.0223
7,canolapolish,F,70,0.0319
7,canolapolish,F,80,0.0447
7,canolapolish,S,50,0.0126
7,canolapolish,S,60,0.0223
7,canolapolish,S,70,0.0319
7,canolapolish,S,80,0.0447
7,CPS,F,50,0.0080
7,CPS,F,60,0.0151
7,CPS,F,70,0.0220
7,CPS,F,80,0.0314
7,CPS,S,50,0.0080
7,CPS,S,60,0.0151
7,CPS,S,70,0.0220
7,CPS,S,80,0.0314
7,HRS,F,50,0.0062
7,HRS,F,60,0.0119
7,HRS,F,70,0.0172
7,HRS,F,80,0.0246
7,HRS,S,50,0.0062
7,HRS,S,60,0.0119
7,HRS,S,70,0.0172
7,HRS,S,80,0.0246
2,barley,F,50,0.0086
2,barley,F,60,0.0156
2,barley,F,70,0.0223
2,barley,F,80,0.0309
2,barley,S,50,0.0131
2,barley,S,60,0.0226
2,barley,S,70,0.0313
2,barley,S,80,0.0423
2,barley,I,50,0.0043
2,barley,I,60,0.0083
2,barley,I,70,0.0115
2,barley,I,80,0.0163
2,canolaargentine,F,50,0.0106
2,canolaargentine,F,60,0.0182
2,canolaargentine,F,70,0.0254
2,canolaargentine,F,80,0.0346
2,canolaargentine,S,50,0.0209
2,canolaargentine,S,60,0.0330
2,canolaargentine,S,70,0.0444
2,canolaargentine,S,80,0.0587
2,canolaargentine,I,50,0.0065
2,canolaargentine,I,60,0.0119
2,canolaargentine,I,70,0.0167
2,canolaargentine,I,80,0.0233
2,canolapolish,F,50,0.0158
2,canolapolish,F,60,0.0273
2,canolapolish,F,70,0.0387
2,canolapolish,F,80,0.0533
2,canolapolish,S,50,0.0244
2,canolapolish,S,60,0.0384
2,canolapolish,S,70,0.0520
2,canolapolish,S,80,0.0687
2,canolapolish,I,50,0.0135
2,canolapolish,I,60,0.0246
2,canolapolish,I,70,0.0362
2,canolapolish,I,80,0.0518
2,CPS,F,50,0.0183
2,CPS,F,60,0.0312
2,CPS,F,70,0.0440
2,CPS,F,80,0.0602
2,CPS,S,50,0.0185
2,CPS,S,60,0.0319
2,CPS,S,70,0.0451
2,CPS,S,80,0.0619
2,CPS,I,50,0.0075
2,CPS,I,60,0.0145
2,CPS,I,70,0.0215
2,CPS,I,80,0.0317
2,HRS,F,50,0.0060
