Id,When,Cal,Alberta,BritishColumbia,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan,ModifiedDate
98647,1/1/1992 12:00:00 AM,Wheat excluding durum,,,,,129.46,,152.13,144.57,128.58,,11/7/2022 9:30:30 AM
98648,2/1/1992 12:00:00 AM,Wheat excluding durum,,,,,147.08,,160.09,146.4,133.5,,11/7/2022 9:30:30 AM
98649,3/1/1992 12:00:00 AM,Wheat excluding durum,,,,,149.76,,159.4,140.62,134.09,,11/7/2022 9:30:30 AM
98650,4/1/1992 12:00:00 AM,Wheat excluding durum,,,,,143.49,,153.45,147.47,133.28,,11/7/2022 9:30:30 AM
98651,5/1/1992 12:00:00 AM,Wheat excluding durum,,,,,146.05,,153.05,147.19,141.72,,11/7/2022 9:30:30 AM
98652,6/1/1992 12:00:00 AM,Wheat excluding durum,,,,,145.14,,153.1,151.68,134.85,,11/7/2022 9:30:30 AM
98653,7/1/1992 12:00:00 AM,Wheat excluding durum,,,,,151.52,,153.52,150.7,126.89,,11/7/2022 9:30:30 AM
98654,8/1/1992 12:00:00 AM,Wheat excluding durum,,,,,143.46,,149.46,142.12,130.13,,11/7/2022 9:30:30 AM
98655,9/1/1992 12:00:00 AM,Wheat excluding durum,,,,,135.42,,156.52,141.57,118.16,,11/7/2022 9:30:30 AM
98656,10/1/1992 12:00:00 AM,Wheat excluding durum,,,,,140.51,,153.02,131.18,118.8,,11/7/2022 9:30:30 AM
98657,11/1/1992 12:00:00 AM,Wheat excluding durum,,,,,139.62,,151.87,131.18,117.95,,11/7/2022 9:30:30 AM
98658,12/1/1992 12:00:00 AM,Wheat excluding durum,,,,,144.41,,149.53,131.18,120.93,,11/7/2022 9:30:30 AM
98659,1/1/1993 12:00:00 AM,Wheat excluding durum,,,,,143.94,,142.7,143.77,143.65,,11/7/2022 9:30:30 AM
98660,2/1/1993 12:00:00 AM,Wheat excluding durum,,,,,141.22,,183.37,140.1,127.07,,11/7/2022 9:30:30 AM
98661,3/1/1993 12:00:00 AM,Wheat excluding durum,,,,,141.22,,145.47,139.82,125.83,,11/7/2022 9:30:30 AM
98662,4/1/1993 12:00:00 AM,Wheat excluding durum,,,,,102.05,,173.92,134.37,120.56,,11/7/2022 9:30:30 AM
98663,5/1/1993 12:00:00 AM,Wheat excluding durum,,,,,92.96,,183.52,137.2,123,,11/7/2022 9:30:30 AM
98664,6/1/1993 12:00:00 AM,Wheat excluding durum,,,,,115.73,,167.59,141.77,111.75,,11/7/2022 9:30:30 AM
98665,7/1/1993 12:00:00 AM,Wheat excluding durum,,,,,108,,182.3,143.7,130.43,,11/7/2022 9:30:30 AM
98666,8/1/1993 12:00:00 AM,Wheat excluding durum,,,,,100,,165,153.78,128.67,,11/7/2022 9:30:30 AM
98667,9/1/1993 12:00:00 AM,Wheat excluding durum,,,,,96.25,,212.03,154.17,128.43,,11/7/2022 9:30:30 AM
98668,10/1/1993 12:00:00 AM,Wheat excluding durum,,,,,132.86,,223.34,157.75,138,,11/7/2022 9:30:30 AM
98669,11/1/1993 12:00:00 AM,Wheat excluding durum,,,,,132.86,,196.17,159.63,137.69,,11/7/2022 9:30:30 AM
98670,12/1/1993 12:00:00 AM,Wheat excluding durum,,,,,132.86,,258.73,160.94,142.07,,11/7/2022 9:30:30 AM
98671,1/1/1994 12:00:00 AM,Wheat excluding durum,,,,,166.91,,258.92,168.65,154.44,,11/7/2022 9:30:30 AM
98672,2/1/1994 12:00:00 AM,Wheat excluding durum,,,,,175.34,,179.15,167.94,147.25,,11/7/2022 9:30:30 AM
98673,3/1/1994 12:00:00 AM,Wheat excluding durum,,,,,168.5,,145.4,167.58,153.33,,11/7/2022 9:30:30 AM
98674,4/1/1994 12:00:00 AM,Wheat excluding durum,,,,,171.67,,148.65,174.09,157.5,,11/7/2022 9:30:30 AM
98675,5/1/1994 12:00:00 AM,Wheat excluding durum,,,,,174.61,,217.54,169.22,151.25,,11/7/2022 9:30:30 AM
98676,6/1/1994 12:00:00 AM,Wheat excluding durum,,,,,174.82,,183.49,166.61,160.5,,11/7/2022 9:30:30 AM
98677,7/1/1994 12:00:00 AM,Wheat excluding durum,,,,,170.42,,171.15,168.5,142.14,,11/7/2022 9:30:30 AM
98678,8/1/1994 12:00:00 AM,Wheat excluding durum,,,,,164.41,,168.99,165.31,147.5,,11/7/2022 9:30:30 AM
98679,9/1/1994 12:00:00 AM,Wheat excluding durum,,,,,165.92,,184.05,166.84,147.97,,11/7/2022 9:30:30 AM
98680,10/1/1994 12:00:00 AM,Wheat excluding durum,,,,,176.39,,189.42,172.64,151.58,,11/7/2022 9:30:30 AM
98681,11/1/1994 12:00:00 AM,Wheat excluding durum,,,,,176.41,,197.41,173.81,156.84,,11/7/2022 9:30:30 AM
98682,12/1/1994 12:00:00 AM,Wheat excluding durum,,,,,175.12,,198.95,174.98,164.41,,11/7/2022 9:30:30 AM
98683,1/1/1995 12:00:00 AM,Wheat excluding durum,,,,,206.41,,198.95,181.17,168.78,,11/7/2022 9:30:30 AM
98684,2/1/1995 12:00:00 AM,Wheat excluding durum,,,,,194.28,,198.95,184.26,170.43,,11/7/2022 9:30:30 AM
98685,3/1/1995 12:00:00 AM,Wheat excluding durum,,,,,188.99,,198.95,182.14,171.81,,11/7/2022 9:30:30 AM
98686,4/1/1995 12:00:00 AM,Wheat excluding durum,,,,,171.41,,186.41,188.92,172.74,,11/7/2022 9:30:30 AM
98687,5/1/1995 12:00:00 AM,Wheat excluding durum,,,,,188.91,,186.41,190.18,170.72,,11/7/2022 9:30:30 AM
98688,6/1/1995 12:00:00 AM,Wheat excluding durum,,,,,196.41,,204.92,185.63,178.8,,11/7/2022 9:30:30 AM
98689,7/1/1995 12:00:00 AM,Wheat excluding durum,,,,,196.41,,204.92,185.63,192.55,,11/7/2022 9:30:30 AM
98690,8/1/1995 12:00:00 AM,Wheat excluding durum,,,,,215.55,,227.4,204.78,213.74,,11/7/2022 9:30:30 AM
98691,9/1/1995 12:00:00 AM,Wheat excluding durum,,,,,220.04,,227.4,210.97,215.2,,11/7/2022 9:30:30 AM
98692,10/1/1995 12:00:00 AM,Wheat excluding durum,,,,,236.92,,227.4,218.52,216.73,,11/7/2022 9:30:30 AM
98693,11/1/1995 12:00:00 AM,Wheat excluding durum,,,,,198.57,,213.32,224.02,234.33,,11/7/2022 9:30:30 AM
98694,12/1/1995 12:00:00 AM,Wheat excluding durum,,,,,238.32,,225.12,230.62,239.55,,11/7/2022 9:30:30 AM
98695,1/1/1996 12:00:00 AM,Wheat excluding durum,,,,,239.32,,230.17,238.79,239.87,,11/7/2022 9:30:30 AM
98696,2/1/1996 12:00:00 AM,Wheat excluding durum,,,,,239.32,,230.17,244.69,247.54,,11/7/2022 9:30:30 AM
98697,3/1/1996 12:00:00 AM,Wheat excluding durum,,,,,239.32,,238.32,217.64,261.45,,11/7/2022 9:30:30 AM
98698,4/1/1996 12:00:00 AM,Wheat excluding durum,,,,,239.32,,251.81,242.04,259.62,,11/7/2022 9:30:30 AM
98699,5/1/1996 12:00:00 AM,Wheat excluding durum,,,,,239.32,,248.32,243.74,287.65,,11/7/2022 9:30:30 AM
98700,6/1/1996 12:00:00 AM,Wheat excluding durum,,,,,239.32,,248.32,244.59,299.05,,11/7/2022 9:30:30 AM
98701,7/1/1996 12:00:00 AM,Wheat excluding durum,,,,,239.32,,266.32,249.75,283.81,,11/7/2022 9:30:30 AM
98702,8/1/1996 12:00:00 AM,Wheat excluding durum,,,,,189.34,,247.33,208.49,219.07,,11/7/2022 9:30:30 AM
98703,9/1/1996 12:00:00 AM,Wheat excluding durum,,,,,193.16,,221.91,209.5,215.68,,11/7/2022 9:30:30 AM
98704,10/1/1996 12:00:00 AM,Wheat excluding durum,,,,,193.16,,210.41,206.76,205.63,,11/7/2022 9:30:30 AM
98705,11/1/1996 12:00:00 AM,Wheat excluding durum,,,,,193.16,,201.83,204.09,202.83,,11/7/2022 9:30:30 AM
98706,12/1/1996 12:00:00 AM,Wheat excluding durum,,,,,194.34,,201.91,205.66,195.93,,11/7/2022 9:30:30 AM
